informant,project,sex,age,ethnicity,education,occupation,latitude,longitude,attic
NC8B,LAMSAS,Female,41,White,Between 1 and 8 years,Keeping house,35.96361,-77.30833,attic
NC9A,LAMSAS,Male,71,White,Between 1 and 8 years,Farmer,35.83889,-77.08334,garret
NC9B,LAMSAS,Female,60,White,Between 1 and 8 years,Other (see notes),35.85444,-77.05583,attic
NC9B,LAMSAS,Female,60,White,Between 1 and 8 years,Other (see notes),35.85444,-77.05583,garret
NC10A,LAMSAS,Male,76,White,Unknown,Fisher,35.9175,-76.2525,garret
NC10B,LAMSAS,Female,70,White,Unknown,Private household worker or gardener,35.92222,-76.24583,garret
NC10C,LAMSAS,Female,41,White,At least some high school,Keeping house,36.06445,-75.70611,attic
NC10C,LAMSAS,Female,41,White,At least some high school,Keeping house,36.06445,-75.70611,garret
NC11A,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,35.59333,-75.46833,garret
NC11B,LAMSAS,Female,39,White,At least some high school,Keeping house,35.90805,-75.67611,attic
NC12A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.47805,-76.0125,garret
NC12B,LAMSAS,Female,46,White,At least some college or beyond,Keeping house,35.40611,-76.32944,garret
NC13A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,35.53417,-76.97028,garret
NC13B,LAMSAS,Female,40,White,At least some high school,Unknown,35.54639,-77.0525,garret
NC13B,LAMSAS,Female,40,White,At least some high school,Unknown,35.54639,-77.0525,attic
NC13B,LAMSAS,Female,40,White,At least some high school,Unknown,35.54639,-77.0525,garret
NC14N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Farmer,35.09555,-76.62889,garret
NC14A,LAMSAS,Male,70,White,Between 1 and 8 years,Farmer,35.09778,-76.71472,attic
NC14A,LAMSAS,Male,70,White,Between 1 and 8 years,Farmer,35.09778,-76.71472,garret
NC14A,LAMSAS,Male,70,White,Between 1 and 8 years,Farmer,35.09778,-76.71472,up garret
NC14B,LAMSAS,Female,75,White,At least some college or beyond,Unknown,34.87889,-76.90166,attic
NC14B,LAMSAS,Female,75,White,At least some college or beyond,Unknown,34.87889,-76.90166,garret
NC14B,LAMSAS,Female,75,White,At least some college or beyond,Unknown,34.87889,-76.90166,garret
NC14C!,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),35.25333,-77.07333,attic
NC14C!,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),35.25333,-77.07333,garret
NC15A,LAMSAS,Male,74,White,No formal schooling,Farmer,35.30833,-77.15444,upper stairs
NC15B,LAMSAS,Female,53,White,At least some high school,Keeping house,35.10833,-77.04444,garret
NC15C,LAMSAS,Male,84,White,No formal schooling,Farmer,35.44778,-77.26222,loft
NC16A,LAMSAS,Female,74,White,Between 1 and 8 years,Keeping house,35.52889,-77.40139,garret
NC16B,LAMSAS,Male,44,White,Between 1 and 8 years,Farmer,35.80695,-77.37917,loft
NC17A,LAMSAS,Male,66,White,Between 1 and 8 years,Farmer,35.40111,-77.7025,loft
NC17B,LAMSAS,Male,48,White,At least some high school,Farmer,35.45139,-77.68139,attic
NC17B,LAMSAS,Male,48,White,At least some high school,Farmer,35.45139,-77.68139,loft
NC18A,LAMSAS,Male,71,White,No formal schooling,Farmer,35.26722,-78.03778,loft
NC18B,LAMSAS,Female,61,White,At least some high school,Other (see notes),35.19639,-78.06667,loft
NC19A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,34.83083,-77.81667,loft
NC19A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,34.83083,-77.81667,attic
NC19B,LAMSAS,Male,51,White,At least some college or beyond,Farmer,35.06333,-78.04056,attic
NC19B,LAMSAS,Male,51,White,At least some college or beyond,Farmer,35.06333,-78.04056,garret
NC20A,LAMSAS,Male,69,White,Between 1 and 8 years,Fisher,35.06667,-77.59111,garret
NC20A,LAMSAS,Male,69,White,Between 1 and 8 years,Fisher,35.06667,-77.59111,loft
NC20B,LAMSAS,Male,72,White,Between 1 and 8 years,Fisher,35.06694,-77.35306,attic
NC20B,LAMSAS,Male,72,White,Between 1 and 8 years,Fisher,35.06694,-77.35306,loft
NC20C,LAMSAS,Female,42,White,At least some high school,Keeping house,34.99222,-76.30917,garret
NC21A,LAMSAS,Female,71,White,Between 1 and 8 years,Keeping house,34.695,-76.55972,loft
NC21B,LAMSAS,Male,45,White,At least some college or beyond,Farmer,34.72889,-76.57139,loft
NC21B,LAMSAS,Male,45,White,At least some college or beyond,Farmer,34.72889,-76.57139,garret
NC22A,LAMSAS,Male,68,White,Unknown,Farmer,34.90472,-77.23167,loft
NC22B,LAMSAS,Female,43,White,At least some high school,Keeping house,34.75389,-77.43056,loft
NC23A,LAMSAS,Male,75,White,Unknown,Farmer,34.4625,-78.10139,loft
NC23B,LAMSAS,Female,46,White,At least some high school,Keeping house,34.55194,-77.92639,attic
NC23C!,LAMSAS,Female,48,White,At least some college or beyond,Unknown,34.22556,-77.945,attic
NC23C!,LAMSAS,Female,48,White,At least some college or beyond,Unknown,34.22556,-77.945,garret
NC23D!,LAMSAS,Female,55,White,Unknown,Unknown,34.13445,-77.88194,attic
NC24N,LAMSAS,Male,89,Black or African American,Unknown,Farmer,34.24028,-77.91666,loft
NC24A,LAMSAS,Female,70,White,Between 1 and 8 years,Keeping house,34.17222,-77.89445,loft
NC24A,LAMSAS,Female,70,White,Between 1 and 8 years,Keeping house,34.17222,-77.89445,lofts
NC24B,LAMSAS,Male,45,White,At least some high school,Farmer,33.89056,-78.56861,attic
NC24B,LAMSAS,Male,45,White,At least some high school,Farmer,33.89056,-78.56861,loft
NC25N,LAMSAS,Female,60,Black or African American,At least some high school,Farmer,34.10695,-78.5375,loft
NC25A,LAMSAS,Male,73,White,Unknown,Farmer,34.0175,-78.26778,loft
NC25B,LAMSAS,Male,68,White,At least some high school,Farmer,34.99222,-78.18333,garret
NC25B,LAMSAS,Male,68,White,At least some high school,Farmer,34.99222,-78.18333,cuddy hole
NC26A,LAMSAS,Female,70,White,Between 1 and 8 years,Keeping house,34.99778,-78.32361,loft
NC26B,LAMSAS,Female,57,White,Unknown,Keeping house,34.99861,-78.19028,attic
NC26C!,LAMSAS,Female,37,White,At least some high school,Keeping house,34.95583,-78.7575,attic
NC27A,LAMSAS,Male,70,White,Unknown,Farmer,34.97028,-78.94556,loft
NC27B,LAMSAS,Female,47,White,At least some high school,Keeping house,35.0525,-78.87861,attic
NC28A,LAMSAS,Male,73,White,Between 1 and 8 years,Farmer,34.53861,-78.78778,overhead
NC28A,LAMSAS,Male,73,White,Between 1 and 8 years,Farmer,34.53861,-78.78778,loft
NC28B,LAMSAS,Male,67,White,Between 1 and 8 years,Farmer,34.62917,-78.60555,loft
NC28C,LAMSAS,Female,40,White,At least some high school,Other (see notes),34.16778,-78.5975,attic
NC28C,LAMSAS,Female,40,White,At least some high school,Other (see notes),34.16778,-78.5975,loft
NC29A,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,34.43889,-78.94945,loft
NC29B,LAMSAS,Female,43,White,At least some high school,Keeping house,34.33861,-78.70333,attic
NC30A,LAMSAS,Male,89,White,Unknown,Farmer,34.68,-79.19527,loft
NC30B,LAMSAS,Female,65,White,At least some high school,Unknown,34.61806,-79.00889,attic
NC31A,LAMSAS,Male,68,White,Unknown,Farmer,36.43694,-77.22916,gallery
NC31B,LAMSAS,Female,59,White,At least some high school,Unknown,36.35,-77.30583,attic
NC32A,LAMSAS,Male,73,White,No formal schooling,Farmer,36.25583,-77.93611,upper room
NC32A,LAMSAS,Male,73,White,No formal schooling,Farmer,36.25583,-77.93611,loft
NC32A,LAMSAS,Male,73,White,No formal schooling,Farmer,36.25583,-77.93611,garret
NC32B!,LAMSAS,Female,59,White,At least some college or beyond,Other (see notes),36.31861,-77.71833,attic
NC32B!,LAMSAS,Female,59,White,At least some college or beyond,Other (see notes),36.31861,-77.71833,garret
NC33A,LAMSAS,Female,68,White,Between 1 and 8 years,Unknown,35.93806,-77.81667,loft
NC33A,LAMSAS,Female,68,White,Between 1 and 8 years,Unknown,35.93806,-77.81667,garret
NC33B,LAMSAS,Female,40,White,Between 1 and 8 years,Keeping house,35.89667,-77.53611,attic
NC33B,LAMSAS,Female,40,White,Between 1 and 8 years,Keeping house,35.89667,-77.53611,garret
NC34A,LAMSAS,Female,70,White,No formal schooling,Laborer,35.635,-77.93333,loft
NC34A,LAMSAS,Female,70,White,No formal schooling,Laborer,35.635,-77.93333,loft
NC34B,LAMSAS,Female,61,White,At least some high school,Keeping house,35.655,-77.87,garret
NC35A,LAMSAS,Female,80,White,At least some high school,Keeping house,35.50834,-78.33972,attic
NC35A,LAMSAS,Female,80,White,At least some high school,Keeping house,35.50834,-78.33972,garret
NC35A,LAMSAS,Female,80,White,At least some high school,Keeping house,35.50834,-78.33972,sky parlor
NC35A,LAMSAS,Female,80,White,At least some high school,Keeping house,35.50834,-78.33972,scuttle hole
NC35B,LAMSAS,Female,44,White,Between 1 and 8 years,Keeping house,35.5,-78.3625,loft
NC36N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Farmer,35.28333,-78.91722,loft
NC36A,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,35.32667,-78.67639,loft
NC36B,LAMSAS,Male,43,White,At least some high school,Farmer,34.88778,-79.36639,attic
NC37A,LAMSAS,Female,65,White,No formal schooling,Keeping house,34.80889,-79.54806,garret
NC37B,LAMSAS,Male,52,White,At least some college or beyond,Farmer,34.75889,-79.61083,garret
NC38N,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,36.48639,-78.17111,loft
NC38N,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,36.48639,-78.17111,up in the joists
NC38A,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944,loft
NC38B,LAMSAS,Female,58,White,At least some high school,Keeping house,36.17139,-78.2525,attic
NC38B,LAMSAS,Female,58,White,At least some high school,Keeping house,36.17139,-78.2525,garret
NC39A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.96083,-78.25389,gallery
NC39A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.96083,-78.25389,the upstairs
NC39B!,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.95,-78.24583,garret
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,loft
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,upper loft
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,garret
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,attic
NC40B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,36.44806,-78.57056,loft
NC41!,LAMSAS,Female,54,White,At least some college or beyond,Clerical or sales position,35.79139,-78.78139,attic
NC42A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,35.90694,-78.72639,loft
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,attic
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,loft
NC43A,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625,loft
NC43B,LAMSAS,Male,41,White,Between 1 and 8 years,Farmer,35.56778,-79.46333,attic
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,attic
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,loft
NC45A,LAMSAS,Female,80,White,No formal schooling,Laborer,35.97583,-79.19417,upstairs
NC45A,LAMSAS,Female,80,White,No formal schooling,Laborer,35.97583,-79.19417,loft
NC45B,LAMSAS,Male,75,White,No formal schooling,Unknown,36.40389,-79.33639,attic
NC45B,LAMSAS,Male,75,White,No formal schooling,Unknown,36.40389,-79.33639,loft
NC46A,LAMSAS,Male,83,White,Between 1 and 8 years,Farmer,36.35472,-79.66472,upstairs
NC46A,LAMSAS,Male,83,White,Between 1 and 8 years,Farmer,36.35472,-79.66472,loft
NC46A,LAMSAS,Male,83,White,Between 1 and 8 years,Farmer,36.35472,-79.66472,garret loft
NC46B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,36.4,-79.77472,attic
NC46B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,36.4,-79.77472,garret
NC46C!,LAMSAS,Female,48,White,At least some college or beyond,"Manager, official, or proprietor",36.08972,-79.88889,attic
NC46C!,LAMSAS,Female,48,White,At least some college or beyond,"Manager, official, or proprietor",36.08972,-79.88889,garret
NC47,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,36.08333,-79.895,loft
NC48,LAMSAS,Male,52,White,At least some high school,Farmer,36.0725,-79.79222,garret
NC49,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,35.82306,-79.86111,NR
NC50A,LAMSAS,Male,45,White,At least some high school,Farmer,35.8825,-80.08222,attic
NC50B!,LAMSAS,Female,38,White,At least some college or beyond,Clerical or sales position,35.52111,-80.33833,attic
NC51A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,35.68333,-80.4875,loft
NC51B,LAMSAS,Male,49,White,At least some college or beyond,Farmer,35.67083,-80.47444,attic
NC52N,LAMSAS,Female,90,Black or African American,No formal schooling,Keeping house,35.47083,-79.77778,loft
NC52A,LAMSAS,Female,77,White,Between 1 and 8 years,Laborer,35.21528,-79.73111,loft
NC52B,LAMSAS,Male,48,White,At least some high school,Farmer,34.96806,-80.07694,attic
NC53A,LAMSAS,Male,82,White,Unknown,Farmer,34.935,-79.88972,loft
NC53B,LAMSAS,Female,42,White,At least some high school,Keeping house,34.86389,-80.00139,attic
NC53B,LAMSAS,Female,42,White,At least some high school,Keeping house,34.86389,-80.00139,loft
NC54A,LAMSAS,Male,79,White,At least some high school,Farmer,34.98833,-80.36723,loft
NC54B,LAMSAS,Female,41,White,At least some high school,Keeping house,34.98417,-80.44945,attic
NC55,LAMSAS,Male,86,White,No formal schooling,Farmer,35.40861,-80.57972,loft
NC55,LAMSAS,Male,86,White,No formal schooling,Farmer,35.40861,-80.57972,garret loft
NC56A,LAMSAS,Female,60,White,At least some high school,Keeping house,35.44167,-80.595,garret
NC56B!,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.17944,-80.6475,attic
NC57A,LAMSAS,Male,81,White,Between 1 and 8 years,"Manager, official, or proprietor",35.46695,-80.81445,garret
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333,attic
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333,garret
NC58A,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,36.40917,-80.20611,loft
NC58B,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,36.41111,-80.21944,attic
NC58B,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,36.41111,-80.21944,garret
NC59,LAMSAS,Female,86,White,Between 1 and 8 years,Keeping house,36.49917,-80.6075,garret
NC60,LAMSAS,Male,41,White,At least some high school,Farmer,36.48222,-80.83806,garret
NC61A,LAMSAS,Male,74,White,No formal schooling,Farmer,36.2325,-80.70834,loft
NC61B,LAMSAS,Female,40,White,At least some high school,Keeping house,36.23806,-80.37167,attic
NC62A,LAMSAS,Male,76,White,Between 1 and 8 years,Unknown,36.01472,-80.95667,garret
NC62B,LAMSAS,Female,52,White,At least some high school,Keeping house,35.7825,-80.8875,attic
NC62B,LAMSAS,Female,52,White,At least some high school,Keeping house,35.7825,-80.8875,garret
NC63A,LAMSAS,Female,74,White,Between 1 and 8 years,Other (see notes),36.40361,-81.49306,loft
NC63B,LAMSAS,Female,52,White,At least some high school,Public Servant,36.44889,-81.38889,attic
NC63B,LAMSAS,Female,52,White,At least some high school,Public Servant,36.44889,-81.38889,garret
NC64A,LAMSAS,Male,86,White,No formal schooling,Farmer,36.23528,-81.61916,loft
NC64A,LAMSAS,Male,86,White,No formal schooling,Farmer,36.23528,-81.61916,garret
NC64B,LAMSAS,Male,39,White,Between 1 and 8 years,Farmer,36.14583,-81.16084,garret
NC65A,LAMSAS,Female,66,White,Between 1 and 8 years,Keeping house,35.58611,-81.40916,loft
NC65A,LAMSAS,Female,66,White,Between 1 and 8 years,Keeping house,35.58611,-81.40916,garret
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139,attic
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139,garret
NC66A,LAMSAS,Male,75,White,No formal schooling,Farmer,35.92556,-81.67472,loft
NC66B,LAMSAS,Female,53,White,At least some high school,Keeping house,35.99222,-81.40195,attic
NC67A,LAMSAS,Male,84,White,No formal schooling,Farmer,35.41389,-81.56333,garret
NC67B,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,35.25417,-81.66722,garret
NC67B,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,35.25417,-81.66722,loft
NC68A,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,36.10833,-82.195,loft
NC68A,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,36.10833,-82.195,attic
NC68B,LAMSAS,Female,42,White,At least some high school,Keeping house,36.01556,-82.15889,attic
NC69A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.61444,-81.98222,loft
NC69B,LAMSAS,Female,57,White,Between 1 and 8 years,Private household worker or gardener,35.66472,-82.0975,garret
NC70A,LAMSAS,Female,71,White,No formal schooling,Other (see notes),35.2975,-82.16139,loft
NC70A,LAMSAS,Female,71,White,No formal schooling,Other (see notes),35.2975,-82.16139,garret loft
NC70B,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944,loft
NC70B,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944,garret
NC70B,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944,attic
NC71A,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,35.79722,-82.68417,loft
NC71B,LAMSAS,Male,54,White,At least some college or beyond,Farmer,35.84945,-82.73889,attic
NC71C!,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,35.75361,-82.40694,attic
NC72A,LAMSAS,Male,74,White,No formal schooling,Farmer,35.53639,-82.69305,NR
NC72B,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.60083,-82.55417,attic
NC73A,LAMSAS,Female,86,White,Unknown,Unknown,35.25417,-82.70028,loft
NC73B,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,35.23333,-82.73444,loft
NC73B,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,35.23333,-82.73444,garret
NC74A,LAMSAS,Male,76,White,No formal schooling,Farmer,35.47333,-83.72639,loft
NC74A,LAMSAS,Male,76,White,No formal schooling,Farmer,35.47333,-83.72639,attic
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475,attic
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475,garret
NC75A,LAMSAS,Male,83,White,No formal schooling,Farmer,35.0525,-83.19695,loft
NC75A,LAMSAS,Male,83,White,No formal schooling,Farmer,35.0525,-83.19695,garret
NC75B,LAMSAS,Female,52,White,At least some high school,Keeping house,35.18222,-83.38167,loft
NC75B,LAMSAS,Female,52,White,At least some high school,Keeping house,35.18222,-83.38167,garret
SC1A,LAMSAS,Female,81,White,Between 1 and 8 years,Keeping house,35.1675,-84.04528,loft
SC1B,LAMSAS,Female,56,White,At least some college or beyond,Keeping house,35.09389,-83.94278,attic
SC2A,LAMSAS,Female,70,White,No formal schooling,Keeping house,33.60639,-79.05583,loft
SC2B,LAMSAS,Female,48,White,At least some high school,Keeping house,34.24194,-79.39306,loft
SC2C,LAMSAS,Female,70,White,Unknown,Keeping house,34.03083,-79.35583,loft
SC3A,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,34.17805,-79.40083,loft
SC3B,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,34.02639,-79.36111,attic
SC3C!,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),33.93528,-79.93278,attic
SC3C!,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),33.93528,-79.93278,garret
SC3C!,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),33.93528,-79.93278,loft
SC4A,LAMSAS,Male,55,White,Between 1 and 8 years,Fisher,34.04028,-79.94417,overhead
SC4A,LAMSAS,Male,55,White,Between 1 and 8 years,Fisher,34.04028,-79.94417,loft
SC4B,LAMSAS,Female,81,White,At least some high school,Keeping house,34.19528,-79.76278,garret
SC4B,LAMSAS,Female,81,White,At least some high school,Keeping house,34.19528,-79.76278,attic
SC4C,LAMSAS,Male,55,White,At least some high school,Public Servant,33.695,-80.21111,loft
SC5A,LAMSAS,Male,79,White,Between 1 and 8 years,Farmer,33.70694,-80.20834,loft
SC5A,LAMSAS,Male,79,White,Between 1 and 8 years,Farmer,33.70694,-80.20834,attic
SC5A,LAMSAS,Male,79,White,Between 1 and 8 years,Farmer,33.70694,-80.20834,garret rooms
SC5B,LAMSAS,Male,80,White,Between 1 and 8 years,Craftsman or foreman,33.68889,-80.22083,loft
SC5C,LAMSAS,Male,61,White,Between 1 and 8 years,Clerical or sales position,33.45111,-79.56111,attic
SC5D!,LAMSAS,Female,71,White,At least some high school,"Manager, official, or proprietor",33.6675,-79.83083,garret
SC5D!,LAMSAS,Female,71,White,At least some high school,"Manager, official, or proprietor",33.6675,-79.83083,garret
SC5D!,LAMSAS,Female,71,White,At least some high school,"Manager, official, or proprietor",33.6675,-79.83083,garret
SC6N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Craftsman or foreman,33.70833,-79.8175,loft
SC6N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Craftsman or foreman,33.70833,-79.8175,overhead
SC6A,LAMSAS,Male,60,White,Between 1 and 8 years,Farmer,33.69167,-79.84167,loft
SC6B,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,33.36111,-79.27917,upstairs
SC6B,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,33.36111,-79.27917,attic
SC6C!,LAMSAS,Female,68,White,At least some college or beyond,Keeping house,33.61778,-79.33083,attic
SC6C!,LAMSAS,Female,68,White,At least some college or beyond,Keeping house,33.61778,-79.33083,attic
SC6C!,LAMSAS,Female,68,White,At least some college or beyond,Keeping house,33.61778,-79.33083,loft
SC6D,LAMSAS,Male,49,White,Between 1 and 8 years,Seeking work,33.55528,-79.21555,loft
SC7N,LAMSAS,Male,83,Black or African American,Between 1 and 8 years,Public Servant,33.43306,-79.12167,gallery
SC7A,LAMSAS,Male,75,White,Between 1 and 8 years,Clerical or sales position,33.37667,-79.29472,garret
SC7B,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,33.36666,-79.29723,attic
SC7B,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,33.36666,-79.29723,garret
SC7B,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,33.36666,-79.29723,garret
SC7C!,LAMSAS,Male,78,White,At least some college or beyond,Professional or technical job,33.38334,-79.30695,garret
SC7D!,LAMSAS,Female,50,White,At least some college or beyond,Public Servant,33.3875,-79.3,attic
SC7D!,LAMSAS,Female,50,White,At least some college or beyond,Public Servant,33.3875,-79.3,loft
SC7D!,LAMSAS,Female,50,White,At least some college or beyond,Public Servant,33.3875,-79.3,outhouses
SC8A,LAMSAS,Female,74,White,Between 1 and 8 years,Keeping house,33.39167,-79.28889,overhead
SC8A,LAMSAS,Female,74,White,Between 1 and 8 years,Keeping house,33.39167,-79.28889,upstairs
SC8A,LAMSAS,Female,74,White,Between 1 and 8 years,Keeping house,33.39167,-79.28889,attic
SC8B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,33.37222,-79.28056,loft
SC8B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,33.37222,-79.28056,upstairs
SC8B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,33.37222,-79.28056,upstairs
SC8C,LAMSAS,Male,67,White,Between 1 and 8 years,Farmer,33.30528,-79.95805,attic
SC8C,LAMSAS,Male,67,White,Between 1 and 8 years,Farmer,33.30528,-79.95805,upstairs
SC8C,LAMSAS,Male,67,White,Between 1 and 8 years,Farmer,33.30528,-79.95805,attic
SC8C,LAMSAS,Male,67,White,Between 1 and 8 years,Farmer,33.30528,-79.95805,upstairs
SC9A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,33.09639,-79.80361,loft
SC9A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,33.09639,-79.80361,we call it
SC9B,LAMSAS,Male,65,White,Between 1 and 8 years,Clerical or sales position,33.40417,-79.92194,second story
SC9B,LAMSAS,Male,65,White,Between 1 and 8 years,Clerical or sales position,33.40417,-79.92194,overheaded
SC9B,LAMSAS,Male,65,White,Between 1 and 8 years,Clerical or sales position,33.40417,-79.92194,loft
SC9C!,LAMSAS,Male,50,White,At least some college or beyond,Professional or technical job,33.01833,-80.17583,attic
SC9D!,LAMSAS,Male,73,White,At least some college or beyond,Unknown,33.32722,-80.14861,attic rooms
SC9D!,LAMSAS,Male,73,White,At least some college or beyond,Unknown,33.32722,-80.14861,garret
SC9D!,LAMSAS,Male,73,White,At least some college or beyond,Unknown,33.32722,-80.14861,generally put the boys up there
SC10A,LAMSAS,Female,53,White,Between 1 and 8 years,Keeping house,33.19584,-80.01334,attic
SC10B!,LAMSAS,Male,85,White,At least some college or beyond,Professional or technical job,33.24445,-79.99167,attic
SC10C!,LAMSAS,Female,64,White,At least some high school,Keeping house,33.0375,-79.61333,attic
SC11N,LAMSAS,Male,58,Black or African American,Between 1 and 8 years,Craftsman or foreman,33.08805,-79.46139,garret
SC11M!,LAMSAS,Male,44,Black or African American,At least some college or beyond,Public Servant,32.79389,-79.86278,garret
SC11M!,LAMSAS,Male,44,Black or African American,At least some college or beyond,Public Servant,32.79389,-79.86278,attic
SC11M!,LAMSAS,Male,44,Black or African American,At least some college or beyond,Public Servant,32.79389,-79.86278,garret
SC11A,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",32.77639,-79.93111,garret
SC11A,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",32.77639,-79.93111,attic
SC11A,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",32.77639,-79.93111,garret room
SC11A,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",32.77639,-79.93111,attic
SC11A,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",32.77639,-79.93111,garret
SC11B,LAMSAS,Male,57,White,Between 1 and 8 years,"Manager, official, or proprietor",32.7875,-79.99306,attic
SC11C,LAMSAS,Female,58,White,Between 1 and 8 years,Keeping house,32.78056,-79.99306,garret
SC11C,LAMSAS,Female,58,White,Between 1 and 8 years,Keeping house,32.78056,-79.99306,attics
SC11C,LAMSAS,Female,58,White,Between 1 and 8 years,Keeping house,32.78056,-79.99306,attic rooms
SC11C,LAMSAS,Female,58,White,Between 1 and 8 years,Keeping house,32.78056,-79.99306,storage place
SC11D,LAMSAS,Male,83,White,Between 1 and 8 years,Clerical or sales position,32.85695,-80,garret
SC11D,LAMSAS,Male,83,White,Between 1 and 8 years,Clerical or sales position,32.85695,-80,attic
SC11D,LAMSAS,Male,83,White,Between 1 and 8 years,Clerical or sales position,32.85695,-80,garret
SC11E,LAMSAS,Male,76,White,At least some high school,Public Servant,32.80416,-79.93889,attic
SC11E,LAMSAS,Male,76,White,At least some high school,Public Servant,32.80416,-79.93889,garret
SC11E,LAMSAS,Male,76,White,At least some high school,Public Servant,32.80416,-79.93889,garret
