Informant,mantel,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude
NC30A,mantelpiece,LAMSAS,Male,89,White,Unknown,Farmer,34.68,-79.19527
NC30B,mantel,LAMSAS,Female,65,White,At least some high school,Unknown,34.61806,-79.00889
NC31A,mantelpiece,LAMSAS,Male,68,White,Unknown,Farmer,36.43694,-77.22916
NC31B,mantel,LAMSAS,Female,59,White,At least some high school,Unknown,36.35,-77.30583
NC31B,fire shelf,LAMSAS,Female,59,White,At least some high school,Unknown,36.35,-77.30583
NC32A,mantelpiece,LAMSAS,Male,73,White,No formal schooling,Farmer,36.25583,-77.93611
NC32B!,mantel,LAMSAS,Female,59,White,At least some college or beyond,Other (see notes),36.31861,-77.71833
NC32B!,mantelpiece,LAMSAS,Female,59,White,At least some college or beyond,Other (see notes),36.31861,-77.71833
NC33A,shelf,LAMSAS,Female,68,White,Between 1 and 8 years,Unknown,35.93806,-77.81667
NC33A,mantelpiece,LAMSAS,Female,68,White,Between 1 and 8 years,Unknown,35.93806,-77.81667
NC33B,mantelpiece,LAMSAS,Female,40,White,Between 1 and 8 years,Keeping house,35.89667,-77.53611
NC34A,frontice,LAMSAS,Female,70,White,No formal schooling,Laborer,35.635,-77.93333
NC34A,shelf,LAMSAS,Female,70,White,No formal schooling,Laborer,35.635,-77.93333
NC34B,mantelpiece,LAMSAS,Female,61,White,At least some high school,Keeping house,35.655,-77.87
NC34B,shelf,LAMSAS,Female,61,White,At least some high school,Keeping house,35.655,-77.87
NC35A,fireboard,LAMSAS,Female,80,White,At least some high school,Keeping house,35.50834,-78.33972
NC35A,mantel,LAMSAS,Female,80,White,At least some high school,Keeping house,35.50834,-78.33972
NC35A,mantelpiece,LAMSAS,Female,80,White,At least some high school,Keeping house,35.50834,-78.33972
NC35B,mantel,LAMSAS,Female,44,White,Between 1 and 8 years,Keeping house,35.5,-78.3625
NC35B,frontice,LAMSAS,Female,44,White,Between 1 and 8 years,Keeping house,35.5,-78.3625
NC36N,mantelboard,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Farmer,35.28333,-78.91722
NC36A,fireboard,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,35.32667,-78.67639
NC36A,mantelpiece,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,35.32667,-78.67639
NC36B,mantelboard,LAMSAS,Male,43,White,At least some high school,Farmer,34.88778,-79.36639
NC36B,mantelpiece,LAMSAS,Male,43,White,At least some high school,Farmer,34.88778,-79.36639
NC37A,NR,LAMSAS,Female,65,White,No formal schooling,Keeping house,34.80889,-79.54806
NC37B,mantel,LAMSAS,Male,52,White,At least some college or beyond,Farmer,34.75889,-79.61083
NC37B,mantelpiece,LAMSAS,Male,52,White,At least some college or beyond,Farmer,34.75889,-79.61083
NC38N,mantelpiece,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,36.48639,-78.17111
NC38N,shelf,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,36.48639,-78.17111
NC38A,frontice,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944
NC38A,shelf,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944
NC38B,mantelpiece,LAMSAS,Female,58,White,At least some high school,Keeping house,36.17139,-78.2525
NC38B,frontice,LAMSAS,Female,58,White,At least some high school,Keeping house,36.17139,-78.2525
NC39A,shelf,LAMSAS,Male,77,White,No formal schooling,Farmer,35.96083,-78.25389
NC39B!,mantelpiece,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.95,-78.24583
NC40A,mantel,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111
NC40A,frontice,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111
NC40A,shelf,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111
NC40B,mantel,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,36.44806,-78.57056
NC40B,shelf,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,36.44806,-78.57056
NC41!,mantel,LAMSAS,Female,54,White,At least some college or beyond,Clerical or sales position,35.79139,-78.78139
NC42A,mantel,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,35.90694,-78.72639
NC42A,fireboard,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,35.90694,-78.72639
NC42B,mantel,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889
NC42B,fireboard,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889
NC43A,mantel,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625
NC43A,fireboard,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625
NC43B,mantelpiece,LAMSAS,Male,41,White,Between 1 and 8 years,Farmer,35.56778,-79.46333
NC43B,fireboard,LAMSAS,Male,41,White,Between 1 and 8 years,Farmer,35.56778,-79.46333
NC44,mantel,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805
NC44,fireboard,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805
NC44,shelf,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805
NC45A,mantelpiece,LAMSAS,Female,80,White,No formal schooling,Laborer,35.97583,-79.19417
NC45A,fireboard,LAMSAS,Female,80,White,No formal schooling,Laborer,35.97583,-79.19417
NC45B,shelf,LAMSAS,Male,75,White,No formal schooling,Unknown,36.40389,-79.33639
NC46A,fireboard,LAMSAS,Male,83,White,Between 1 and 8 years,Farmer,36.35472,-79.66472
NC46B,mantel,LAMSAS,Male,44,White,At least some college or beyond,Farmer,36.4,-79.77472
NC46B,fireboard,LAMSAS,Male,44,White,At least some college or beyond,Farmer,36.4,-79.77472
NC46C!,mantel,LAMSAS,Female,48,White,At least some college or beyond,"Manager, official, or proprietor",36.08972,-79.88889
NC47,fireboard,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,36.08333,-79.895
NC48,mantelboard,LAMSAS,Male,52,White,At least some high school,Farmer,36.0725,-79.79222
NC48,fireboard,LAMSAS,Male,52,White,At least some high school,Farmer,36.0725,-79.79222
NC49,mantel,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,35.82306,-79.86111
NC49,fireboard,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,35.82306,-79.86111
NC50A,mantel,LAMSAS,Male,45,White,At least some high school,Farmer,35.8825,-80.08222
NC50A,fireboard,LAMSAS,Male,45,White,At least some high school,Farmer,35.8825,-80.08222
NC50B!,mantel,LAMSAS,Female,38,White,At least some college or beyond,Clerical or sales position,35.52111,-80.33833
NC50B!,mantelpiece,LAMSAS,Female,38,White,At least some college or beyond,Clerical or sales position,35.52111,-80.33833
NC51A,fireboard,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,35.68333,-80.4875
NC51B,mantel,LAMSAS,Male,49,White,At least some college or beyond,Farmer,35.67083,-80.47444
NC51B,fireboard,LAMSAS,Male,49,White,At least some college or beyond,Farmer,35.67083,-80.47444
NC52N,mantelpiece,LAMSAS,Female,90,Black or African American,No formal schooling,Keeping house,35.47083,-79.77778
NC52A,fireboard,LAMSAS,Female,77,White,Between 1 and 8 years,Laborer,35.21528,-79.73111
NC52B,mantelpiece,LAMSAS,Male,48,White,At least some high school,Farmer,34.96806,-80.07694
NC53A,fireboard,LAMSAS,Male,82,White,Unknown,Farmer,34.935,-79.88972
NC53B,mantel,LAMSAS,Female,42,White,At least some high school,Keeping house,34.86389,-80.00139
NC53B,fireboard,LAMSAS,Female,42,White,At least some high school,Keeping house,34.86389,-80.00139
NC54A,mantelpiece,LAMSAS,Male,79,White,At least some high school,Farmer,34.98833,-80.36723
NC54B,mantelboard,LAMSAS,Female,41,White,At least some high school,Keeping house,34.98417,-80.44945
NC54B,fireboard,LAMSAS,Female,41,White,At least some high school,Keeping house,34.98417,-80.44945
NC55,mantel,LAMSAS,Male,86,White,No formal schooling,Farmer,35.40861,-80.57972
NC55,fireboard,LAMSAS,Male,86,White,No formal schooling,Farmer,35.40861,-80.57972
NC56A,mantel,LAMSAS,Female,60,White,At least some high school,Keeping house,35.44167,-80.595
NC56A,fireboard,LAMSAS,Female,60,White,At least some high school,Keeping house,35.44167,-80.595
NC56B!,mantel,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.17944,-80.6475
NC57A,fireboard,LAMSAS,Male,81,White,Between 1 and 8 years,"Manager, official, or proprietor",35.46695,-80.81445
NC57B,mantel,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333
NC57B,fire jamb,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333
NC57B,fireboard,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333
NC58A,mantel,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,36.40917,-80.20611
NC58A,fireboard,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,36.40917,-80.20611
NC58B,mantel,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,36.41111,-80.21944
NC58B,fireboard,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,36.41111,-80.21944
NC59,fireboard,LAMSAS,Female,86,White,Between 1 and 8 years,Keeping house,36.49917,-80.6075
NC60,mantel,LAMSAS,Male,41,White,At least some high school,Farmer,36.48222,-80.83806
NC60,fireboard,LAMSAS,Male,41,White,At least some high school,Farmer,36.48222,-80.83806
NC61A,fireboard,LAMSAS,Male,74,White,No formal schooling,Farmer,36.2325,-80.70834
NC61B,mantel,LAMSAS,Female,40,White,At least some high school,Keeping house,36.23806,-80.37167
NC61B,fireboard,LAMSAS,Female,40,White,At least some high school,Keeping house,36.23806,-80.37167
NC62A,mantel,LAMSAS,Male,76,White,Between 1 and 8 years,Unknown,36.01472,-80.95667
NC62A,fireboard,LAMSAS,Male,76,White,Between 1 and 8 years,Unknown,36.01472,-80.95667
NC62B,mantel,LAMSAS,Female,52,White,At least some high school,Keeping house,35.7825,-80.8875
NC62B,fireboard,LAMSAS,Female,52,White,At least some high school,Keeping house,35.7825,-80.8875
NC63A,fireboard,LAMSAS,Female,74,White,Between 1 and 8 years,Other (see notes),36.40361,-81.49306
NC63B,mantelpiece,LAMSAS,Female,52,White,At least some high school,Public Servant,36.44889,-81.38889
NC63B,fireboard,LAMSAS,Female,52,White,At least some high school,Public Servant,36.44889,-81.38889
NC64A,fireboard,LAMSAS,Male,86,White,No formal schooling,Farmer,36.23528,-81.61916
NC64B,fireboard,LAMSAS,Male,39,White,Between 1 and 8 years,Farmer,36.14583,-81.16084
NC65A,fireboard,LAMSAS,Female,66,White,Between 1 and 8 years,Keeping house,35.58611,-81.40916
NC65B,mantel,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139
NC65B,fireboard,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139
NC66A,NR,LAMSAS,Male,75,White,No formal schooling,Farmer,35.92556,-81.67472
NC66B,mantel,LAMSAS,Female,53,White,At least some high school,Keeping house,35.99222,-81.40195
NC66B,fireboard,LAMSAS,Female,53,White,At least some high school,Keeping house,35.99222,-81.40195
NC67A,mantel,LAMSAS,Male,84,White,No formal schooling,Farmer,35.41389,-81.56333
NC67A,fireboard,LAMSAS,Male,84,White,No formal schooling,Farmer,35.41389,-81.56333
NC67B,mantel,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,35.25417,-81.66722
NC67B,fireboard,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,35.25417,-81.66722
NC68A,mantelboard,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,36.10833,-82.195
NC68A,fireboard,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,36.10833,-82.195
NC68B,mantelpiece,LAMSAS,Female,42,White,At least some high school,Keeping house,36.01556,-82.15889
NC68B,fireboard,LAMSAS,Female,42,White,At least some high school,Keeping house,36.01556,-82.15889
NC69A,fireboard,LAMSAS,Male,77,White,No formal schooling,Farmer,35.61444,-81.98222
NC69B,fireboard,LAMSAS,Female,57,White,Between 1 and 8 years,Private household worker or gardener,35.66472,-82.0975
NC70A,mantelpiece,LAMSAS,Female,71,White,No formal schooling,Other (see notes),35.2975,-82.16139
NC70A,fireboard,LAMSAS,Female,71,White,No formal schooling,Other (see notes),35.2975,-82.16139
NC70B,mantel,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944
NC70B,mantelshelf,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944
NC71A,fireboard,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,35.79722,-82.68417
NC71B,fireboard,LAMSAS,Male,54,White,At least some college or beyond,Farmer,35.84945,-82.73889
NC71C!,mantel,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,35.75361,-82.40694
NC71C!,fireboard,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,35.75361,-82.40694
NC72A,fireboard,LAMSAS,Male,74,White,No formal schooling,Farmer,35.53639,-82.69305
NC72B,fireboard,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.60083,-82.55417
NC72B,mantel,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.60083,-82.55417
NC73A,fireboard,LAMSAS,Female,86,White,Unknown,Unknown,35.25417,-82.70028
NC73B,mantel,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,35.23333,-82.73444
NC73B,fireboard,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,35.23333,-82.73444
NC74A,fireboard,LAMSAS,Male,76,White,No formal schooling,Farmer,35.47333,-83.72639
NC74B,mantel,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475
NC74B,fireboard,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475
NC75A,fireboard,LAMSAS,Male,83,White,No formal schooling,Farmer,35.0525,-83.19695
NC75B,mantelpiece,LAMSAS,Female,52,White,At least some high school,Keeping house,35.18222,-83.38167
NC75B,mantelboard,LAMSAS,Female,52,White,At least some high school,Keeping house,35.18222,-83.38167
NC75B,fireboard,LAMSAS,Female,52,White,At least some high school,Keeping house,35.18222,-83.38167
SC1A,mantelpiece,LAMSAS,Female,81,White,Between 1 and 8 years,Keeping house,35.1675,-84.04528
SC1A,fireboard,LAMSAS,Female,81,White,Between 1 and 8 years,Keeping house,35.1675,-84.04528
SC1B,mantel,LAMSAS,Female,56,White,At least some college or beyond,Keeping house,35.09389,-83.94278
SC1B,fireboard,LAMSAS,Female,56,White,At least some college or beyond,Keeping house,35.09389,-83.94278
SC2A,mantelboard,LAMSAS,Female,70,White,No formal schooling,Keeping house,33.60639,-79.05583
SC2B,mantelboard,LAMSAS,Female,48,White,At least some high school,Keeping house,34.24194,-79.39306
SC2C,mantelboard,LAMSAS,Female,70,White,Unknown,Keeping house,34.03083,-79.35583
SC3A,mantelshelf,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,34.17805,-79.40083
SC3A,fireboard,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,34.17805,-79.40083
SC3B,mantels,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,34.02639,-79.36111
SC3B,mantel,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,34.02639,-79.36111
SC3B,fireboard,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,34.02639,-79.36111
SC3B,fireboard,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,34.02639,-79.36111
SC3C!,mantelpiece,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),33.93528,-79.93278
SC3C!,mantelboard,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),33.93528,-79.93278
SC4A,mantelpiece,LAMSAS,Male,55,White,Between 1 and 8 years,Fisher,34.04028,-79.94417
SC4A,mantelboard,LAMSAS,Male,55,White,Between 1 and 8 years,Fisher,34.04028,-79.94417
SC4B,mantelpiece,LAMSAS,Female,81,White,At least some high school,Keeping house,34.19528,-79.76278
SC4B,mantelshelf,LAMSAS,Female,81,White,At least some high school,Keeping house,34.19528,-79.76278
SC4C,mantelpiece,LAMSAS,Male,55,White,At least some high school,Public Servant,33.695,-80.21111
SC5A,mantel,LAMSAS,Male,79,White,Between 1 and 8 years,Farmer,33.70694,-80.20834
SC5A,mantelpiece,LAMSAS,Male,79,White,Between 1 and 8 years,Farmer,33.70694,-80.20834
SC5A,mantelboard,LAMSAS,Male,79,White,Between 1 and 8 years,Farmer,33.70694,-80.20834
SC5A,clock,LAMSAS,Male,79,White,Between 1 and 8 years,Farmer,33.70694,-80.20834
SC5B,mantelpiece,LAMSAS,Male,80,White,Between 1 and 8 years,Craftsman or foreman,33.68889,-80.22083
SC5C,mantelpiece,LAMSAS,Male,61,White,Between 1 and 8 years,Clerical or sales position,33.45111,-79.56111
SC5D!,mantel,LAMSAS,Female,71,White,At least some high school,"Manager, official, or proprietor",33.6675,-79.83083
SC5D!,shelf,LAMSAS,Female,71,White,At least some high school,"Manager, official, or proprietor",33.6675,-79.83083
SC5D!,fire shelf,LAMSAS,Female,71,White,At least some high school,"Manager, official, or proprietor",33.6675,-79.83083
SC5D!,fire shelf,LAMSAS,Female,71,White,At least some high school,"Manager, official, or proprietor",33.6675,-79.83083
SC6N,mantelpiece,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Craftsman or foreman,33.70833,-79.8175
SC6N,mantel,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Craftsman or foreman,33.70833,-79.8175
SC6A,mantelpiece,LAMSAS,Male,60,White,Between 1 and 8 years,Farmer,33.69167,-79.84167
SC6B,mantelpiece,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,33.36111,-79.27917
SC6C!,mantel,LAMSAS,Female,68,White,At least some college or beyond,Keeping house,33.61778,-79.33083
SC6C!,mantelpiece,LAMSAS,Female,68,White,At least some college or beyond,Keeping house,33.61778,-79.33083
SC6D,mantelboard,LAMSAS,Male,49,White,Between 1 and 8 years,Seeking work,33.55528,-79.21555
SC6D,mantelpiece,LAMSAS,Male,49,White,Between 1 and 8 years,Seeking work,33.55528,-79.21555
SC7N,mantelpiece,LAMSAS,Male,83,Black or African American,Between 1 and 8 years,Public Servant,33.43306,-79.12167
SC7N,fireboard,LAMSAS,Male,83,Black or African American,Between 1 and 8 years,Public Servant,33.43306,-79.12167
SC7A,mantelpiece,LAMSAS,Male,75,White,Between 1 and 8 years,Clerical or sales position,33.37667,-79.29472
SC7B,mantelpiece,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,33.36666,-79.29723
SC7B,mantelpiece,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,33.36666,-79.29723
SC7C!,mantelpiece,LAMSAS,Male,78,White,At least some college or beyond,Professional or technical job,33.38334,-79.30695
SC7D!,mantel,LAMSAS,Female,50,White,At least some college or beyond,Public Servant,33.3875,-79.3
SC7D!,mantelpiece,LAMSAS,Female,50,White,At least some college or beyond,Public Servant,33.3875,-79.3
SC7D!,mantelpiece,LAMSAS,Female,50,White,At least some college or beyond,Public Servant,33.3875,-79.3
SC8A,mantel,LAMSAS,Female,74,White,Between 1 and 8 years,Keeping house,33.39167,-79.28889
SC8A,shelf,LAMSAS,Female,74,White,Between 1 and 8 years,Keeping house,33.39167,-79.28889
SC8B,mantelpiece,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,33.37222,-79.28056
SC8C,mantelpiece,LAMSAS,Male,67,White,Between 1 and 8 years,Farmer,33.30528,-79.95805
SC9A,mantelpiece,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,33.09639,-79.80361
SC9A,mantelpiece,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,33.09639,-79.80361
SC9A,mantelpiece,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,33.09639,-79.80361
SC9B,mantelpiece,LAMSAS,Male,65,White,Between 1 and 8 years,Clerical or sales position,33.40417,-79.92194
SC9B,just a board,LAMSAS,Male,65,White,Between 1 and 8 years,Clerical or sales position,33.40417,-79.92194
SC9B,board,LAMSAS,Male,65,White,Between 1 and 8 years,Clerical or sales position,33.40417,-79.92194
SC9C!,mantelpiece,LAMSAS,Male,50,White,At least some college or beyond,Professional or technical job,33.01833,-80.17583
SC9D!,mantels,LAMSAS,Male,73,White,At least some college or beyond,Unknown,33.32722,-80.14861
SC9D!,carved mantelpieces,LAMSAS,Male,73,White,At least some college or beyond,Unknown,33.32722,-80.14861
SC10A,mantel,LAMSAS,Female,53,White,Between 1 and 8 years,Keeping house,33.19584,-80.01334
SC10B!,mantel,LAMSAS,Male,85,White,At least some college or beyond,Professional or technical job,33.24445,-79.99167
SC10B!,mantelpiece,LAMSAS,Male,85,White,At least some college or beyond,Professional or technical job,33.24445,-79.99167
SC10C!,mantelpiece,LAMSAS,Female,64,White,At least some high school,Keeping house,33.0375,-79.61333
SC11N,mantelpiece,LAMSAS,Male,58,Black or African American,Between 1 and 8 years,Craftsman or foreman,33.08805,-79.46139
SC11M!,mantel,LAMSAS,Male,44,Black or African American,At least some college or beyond,Public Servant,32.79389,-79.86278
SC11M!,mantel,LAMSAS,Male,44,Black or African American,At least some college or beyond,Public Servant,32.79389,-79.86278
SC11M!,mantelpiece,LAMSAS,Male,44,Black or African American,At least some college or beyond,Public Servant,32.79389,-79.86278
SC11A,mantelpiece,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",32.77639,-79.93111
SC11A,fireboard,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",32.77639,-79.93111
SC11A,mantelpiece,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",32.77639,-79.93111
SC11B,NR,LAMSAS,Male,57,White,Between 1 and 8 years,"Manager, official, or proprietor",32.7875,-79.99306
SC11C,mantelpiece,LAMSAS,Female,58,White,Between 1 and 8 years,Keeping house,32.78056,-79.99306
SC11D,mantel,LAMSAS,Male,83,White,Between 1 and 8 years,Clerical or sales position,32.85695,-80
SC11D,mantel,LAMSAS,Male,83,White,Between 1 and 8 years,Clerical or sales position,32.85695,-80
SC11D,mantelpiece,LAMSAS,Male,83,White,Between 1 and 8 years,Clerical or sales position,32.85695,-80
SC11D,mantelpiece,LAMSAS,Male,83,White,Between 1 and 8 years,Clerical or sales position,32.85695,-80
SC11E,mantelpiece,LAMSAS,Male,76,White,At least some high school,Public Servant,32.80416,-79.93889
SC11F,mantel,LAMSAS,Female,48,White,At least some high school,Keeping house,32.85417,-79.97083
SC11F,mantelpiece,LAMSAS,Female,48,White,At least some high school,Keeping house,32.85417,-79.97083
SC11F,lambrequin,LAMSAS,Female,48,White,At least some high school,Keeping house,32.85417,-79.97083
SC11G!,mantelpiece,LAMSAS,Male,24,White,At least some college or beyond,Professional or technical job,32.80972,-79.99028
SC11H!,mantel,LAMSAS,Male,52,White,At least some college or beyond,Public Servant,32.83333,-79.95695
SC11I!,mantel,LAMSAS,Female,51,White,At least some high school,Unknown,32.81111,-79.95277
SC11I!,mantelpiece,LAMSAS,Female,51,White,At least some high school,Unknown,32.81111,-79.95277
SC11J!,mantel,LAMSAS,Female,69,White,At least some high school,Professional or technical job,32.77361,-79.94167
SC11J!,mantelpiece,LAMSAS,Female,69,White,At least some high school,Professional or technical job,32.77361,-79.94167
SC11J!,mantelshelf,LAMSAS,Female,69,White,At least some high school,Professional or technical job,32.77361,-79.94167
SC11J!,chimney breast,LAMSAS,Female,69,White,At least some high school,Professional or technical job,32.77361,-79.94167
SC12A,mantelshelf,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,32.76667,-79.93056
SC12B,mantelpiece,LAMSAS,Female,70,White,At least some high school,Keeping house,32.76944,-79.92778
SC13,mantel,LAMSAS,Male,52,White,At least some college or beyond,Farmer,33.21444,-80.44806
SC13,mantelpiece,LAMSAS,Male,52,White,At least some college or beyond,Farmer,33.21444,-80.44806
SC14A,mantelpiece,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,33.18583,-80.57584
SC14B,mantel,LAMSAS,Male,51,White,At least some college or beyond,Clerical or sales position,32.56,-80.28
SC14B,mantelpiece,LAMSAS,Male,51,White,At least some college or beyond,Clerical or sales position,32.56,-80.28
SC15A,mantelpiece,LAMSAS,Male,83,White,Between 1 and 8 years,Farmer,32.79055,-80.71889
SC15B,mantelpiece,LAMSAS,Male,68,White,At least some high school,Clerical or sales position,32.905,-80.66695
SC15B,mantel,LAMSAS,Male,68,White,At least some high school,Clerical or sales position,32.905,-80.66695
SC15C,mantel,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,33.16444,-81.07944
SC15C,mantelpiece,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,33.16444,-81.07944
SC15C,mantelpiece,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,33.16444,-81.07944
SC16N,mantelpiece,LAMSAS,Male,68,Black or African American,Between 1 and 8 years,Farmer,33.29694,-81.035
SC16N,mantelpiece,LAMSAS,Male,68,Black or African American,Between 1 and 8 years,Farmer,33.29694,-81.035
SC16N,shelf,LAMSAS,Male,68,Black or African American,Between 1 and 8 years,Farmer,33.29694,-81.035
SC16N,bannister,LAMSAS,Male,68,Black or African American,Between 1 and 8 years,Farmer,33.29694,-81.035
SC16,mantelpiece,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,33.30833,-81.02917
SC17A,mantelpiece,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,33.08055,-81.53528
SC17A,mantel,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,33.08055,-81.53528
SC17A,mantelshelf,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,33.08055,-81.53528
SC17B,mantelpiece,LAMSAS,Male,68,White,Between 1 and 8 years,Public Servant,33.00778,-81.30861
SC17B,mantelshelf,LAMSAS,Male,68,White,Between 1 and 8 years,Public Servant,33.00778,-81.30861
SC17C,mantelpiece,LAMSAS,Female,88,White,At least some high school,"Manager, official, or proprietor",32.87083,-81.10973
SC17C,shelf,LAMSAS,Female,88,White,At least some high school,"Manager, official, or proprietor",32.87083,-81.10973
SC17D,mantelpiece,LAMSAS,Male,78,White,At least some college or beyond,"Manager, official, or proprietor",32.875,-81.125
SC17D,mantel,LAMSAS,Male,78,White,At least some college or beyond,"Manager, official, or proprietor",32.875,-81.125
SC17D,mantelshelf,LAMSAS,Male,78,White,At least some college or beyond,"Manager, official, or proprietor",32.875,-81.125
SC18N,mantel,LAMSAS,Male,75,Black or African American,Between 1 and 8 years,Clerical or sales position,32.8625,-81.11945
SC18N,mantelpiece,LAMSAS,Male,75,Black or African American,Between 1 and 8 years,Clerical or sales position,32.8625,-81.11945
SC18A,mantelshelf,LAMSAS,Male,68,White,Between 1 and 8 years,Craftsman or foreman,32.86667,-81.10555
SC18A,fireboard,LAMSAS,Male,68,White,Between 1 and 8 years,Craftsman or foreman,32.86667,-81.10555
SC18A,fire box,LAMSAS,Male,68,White,Between 1 and 8 years,Craftsman or foreman,32.86667,-81.10555
SC18A,chimney box,LAMSAS,Male,68,White,Between 1 and 8 years,Craftsman or foreman,32.86667,-81.10555
SC18B,mantel,LAMSAS,Male,62,White,At least some high school,Operative,32.43139,-80.67
SC18B,mantelpiece,LAMSAS,Male,62,White,At least some high school,Operative,32.43139,-80.67
SC18B,mantelpiece,LAMSAS,Male,62,White,At least some high school,Operative,32.43139,-80.67
SC18C!,mantelpiece,LAMSAS,Female,61,White,At least some college or beyond,Keeping house,32.44861,-80.67083
SC18C!,fireboard,LAMSAS,Female,61,White,At least some college or beyond,Keeping house,32.44861,-80.67083
