Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude,frying pan,comments,,,
VT323,LANE,Male,69,White,Between 1 and 8 years,Public servant,42.8831,-72.8672,"spider, skillet",[?] [upside-down T] cast iron (skillet),,,
VT324,LANE,Male,58,White,At least some high school,Farmer,42.8831,-72.8672,"spider, skillet","cast iron, with legs (OF) (skillet)",,,
VT337,LANE,Female,77,White,At least some high school,Keeping house,44.0811,-72.0583,"fry pan, spider, skillet, fry basin","long handle, 3 legs (skillet); deepish handle (fry basin)",,,
VT338,LANE,Male,57,White,At least some high school,Farmer,44.9238,-71.5569,"fry pan, spider",,,,
VT339,LANE,Male,68,White,At least some high school,Farmer,44.5358,-72.0053,"frying pan, spider, fry basin",,,,
VT340,LANE,Male,81,White,At least some high school,Farmer,44.4336,-72.015,"frying pan, spider",,,,
VT341,LANE,Female,71,White,At least some high school,Professional or technical job,44.3081,-72.0833,"spider, fry pan, skillet",mod. (fry pan); deep with handle. o. fireplace (skillet),,,
VT343,LANE,Male,86,White,No formal schooling,Clerical or sales position,44.1286,-72.2566,frying pan,,,,
VT345,LANE,Male,85,White,Between 1 and 8 years,Farmer,44.3633,-72.4664,"frying pan, skillet, spider","OF, round-bottomed, w. legs (skillet)",,,
VT346,LANE,Male,73,White,Between 1 and 8 years,Farmer,44.3633,-72.4664,"spider, frying pan, skillet","cast iron (frying pan); sg., [upside-down t] [drawing] (skillet)",,,
VT347,LANE,Male,70,White,Between 1 and 8 years,Public servant,44.1411,-72.6644,spider,[upside-down t] skillet - not here,,,
VT348,LANE,Female,69,White,Between 1 and 8 years,Farmer's wife,44.1411,-72.6644,"frying pan, skillet, spider","very old (skillet); fairly old (spider); obsolete (spider, skillet)",,,
VT351,LANE,Male,63,White,At least some high school,Farmer,44.21,-72.1006,"fry pan, spider, fry basin",,,,
WI1A,LANCS,Male,73,White,Between 1 and 8 yrs.,Craftsman or foreman,46.7208,-92.1041,frying pans,made of cast iron,,,
WI1B,LANCS,Male,54,White,At least college or beyond,Clerical and sales,46.7208,-92.1041,frying pan,"cast-iron -- 1/4"" thick bottom; 11"" diameter, 2"" deep; no legs, not beveled out so much; a lip",,,
WI2A,LANCS,Male,70,White,At least some high school,Farmer,46.8108,-90.8182,"spider, skillet, frying pan","spider -- 2-3"" deep, of cast iron, 12"" diameter - no legs; frying pan -- I'd call it",,,
WI2B,LANCS,Female,46,White,At least some high school,Keeping house,46.7793,-90.7865,"spiders, frying pan",spiders -- still used. Old ones had small bumps underneath,,,
WI3A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,45.0735,-87.8677,"spider, skillet, frying pan",spider -- very seldom used any more; = frying pan; skillet -- cast iron - short iron [sic!] (handle?); frying pan -- heavy sheet iron; long handle,,,
WI3B,LANCS,Female,65,White,At least some high school,Keeping house,45.1,-87.6307,"spider, frying pan",spider -- sides didn't slope out; frying pan -- same; now more common word,,,
WI4A,LANCS,Male,75,White,Between 1 and 8 yrs.,Professional & technical,44.8342,-87.377,"spider, skillet","cast iron, heavy no legs",,,
WI4B,LANCS,Male,33,White,Unknown,Farmer,44.7357,-87.6209,"skillet, a spider","skillet -- [pic]; could cover 2 burners of stove; used for pancakes, etc.; **a spider",,,
WI5A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,44.9789,-92.4357,"spider, frying pan",spider -- first name ever I heard,,,
WI5B,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,45.0672,-92.4486,"frying pan, frying griddle, skillet",frying pan -- cast iron; frying griddle -- later; *skillet -- old lady from Iceland called it,,,
WI5C,LANCS,Male,55,White,Unknown,Farmer,45.0672,-92.4486,spider,still used - [pic] heavy metal,,,
WI6A,LANCS,Male,85,White,At least some high school,"Manager, official, or proprietor",44.4411,-92.1479,"skillet, frying pan, spider","spider -- t - thinner metal, longer handle; all iron. No legs. Not much used",,,
WI6B,LANCS,Female,56,White,At least some college or beyond,Teacher,44.4833,-92.2621,"spider, frying pan",spider -- almost entirely when we were little. No legs; cast iron; frying pan -- now said; same thing,,,
WI7A,LANCS,Male,72,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",44.8113,-91.4985,"frying pans, spider, skillets","frying pans -- [two inches deep] - of iron, no legs; spider & skillets -- not much used today",,,
WI7B,LANCS,Female,77,White,Between 1 and 8 yrs.,Farmer's wife,44.7085,-91.579,spider,"[pron. note]; cast iron, 2"" deep",,,
WI8A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,44.0306,-91.3855,"spider, skillet, frying","spider -- flat bottom, cast iron, no legs; skillet -- now",,,
WI8B,LANCS,Male,75,White,Between 1 and 8 yrs.,Farmer,44.0055,-91.4421,"spider, frying pans","spider -- no legs, black, 2"" deep, heavy iron; frying pans -- nowadays",,,
WI9A,LANCS,Male,68,White,Between 1 and 8 yrs.,Farmer,44.5114,-89.4671,"frying pan, spider, skillet",same utensil; frying pan -- lighter weight; spider -- cast iron; oldest term; skillet -- light & heavy; newest term. Oldest spiders had 4 little nubs (not legs) to hold it off )fireplace( = stove,,,
WI9B,LANCS,Female,49,White,At least some college or beyond,Teacher,44.6052,-89.4175,"frying pan, skillet",frying pan -- cast iron; skillet -- lighter material,,,
WI10A,LANCS,Male,75,White,Between 1 and 8 yrs.,Farmer,44.2816,-88.4384,"spider, frying pan","spider -- t - 2 1/2""-3"" deep, heavy metal, flat bottom",,,
WI10B,LANCS,Male,71,White,Between 1 and 8 yrs.,Farmer,44.18,-88.18,"frying pan, s. spider","both used today, in our house. Same thing. ???? Pan (Dut.)",,,
WI11A,LANCS,Female,75,White,Between 1 and 8 yrs.,Farmer's wife,44.6245,-87.8746,"spider, skillet",spider -- of heavy iron,,,
WI11B,LANCS,Male,60,White,At least some college or beyond,"Manager, official, or proprietor",44.5624,-88.0803,"spider, griddle","spider -- cast iron) frying pan (no legs; griddle -- [pic] - covered two stove-holes, used for )flapjacks, pancakes",,,
WI12A,LANCS,Female,88,White,At least some high school,Farmer's wife,43.7844,-90.0171,"spider, frying pan",spider -- an iron (container; frying pan -- now - lighter metal,,,
WI12B,LANCS,Male,54,White,Between 1 and 8 yrs.,Farmer,43.7844,-90.0171,"frying pan, skillet",frying pan -- sheet iron; skillet -- cast iron,,,
WI13A,LANCS,Male,87,White,Between 1 and 8 yrs.,Farmer,43.3316,-89.2558,"spider, frying pan",frying pan -- they call them now,,,
WI13B,LANCS,Female,69,White,At least some high school,Keeping house,43.5391,-89.4626,"skillet, frying pan, spider",spider -- *says 'oldest',,,
WI14A,LANCS,Male,87,White,At least some high school,Farmer ,43.413,-88.3254,spider,[pic] cast iron,,,
WI14B,LANCS,Female,70,White,Between 1 and 8 yrs.,Farmer's wife,43.413,-88.3254,"skillet, frying pan, spider","skillet -- older word; still used somewhat.; frying pan -- now, mostly; spider -- iron, heavy, 2 1/2""-3"" deep",,,
WI15A,LANCS,Female,80,White,Between 1 and 8 yrs.,Farmer's wife,43.4253,-88.1834,spider,"2"" deep - heavy iron. No legs. Word still used.",,,
WI15B,LANCS,Male,73,White,Between 1 and 8 yrs.,Farmer,43.3239,-88.1668,frying pan,"cast iron) two inches (deep, about",,,
WI16A,LANCS,Male,73,White,Between 1 and 8 yrs.,Farmer,43.055,-91.062,"frying pan, spider","frying pan -- heavy; 2"" deep; spider -- same thing",,,
WI16B,LANCS,Male,68,White,Unknown,Farmer,43.0517,-91.1412,"spider, frying pan","spider -- still used somewhat; frying pan -- 2 1/2""-3"" deep",,,
,,,,,,,,,"skillet, frying pan","skillet -- (almost (t)) t--obs? Two/three inches deep; cast iron 1/1, 1/2; frying pan -- lighter metal; now even heavy ones so called",,,
WI17B,LANCS,Male,82,White,At least some high school,Clerical and sales,42.8029,-90.7343,"frying pan, griddle iron","frying pan -- 1 1/2"" deep, ca.; griddle iron -- flat",,,
WI17NA,LANCS,Male,90,Black or African American,Between 1 and 8 yrs.,Farmer,42.8029,-90.7343,NR,,,,
WI18A,LANCS,Male,85,White,Between 1 and 8 yrs.,Farmer,42.86,-90.1798,"frying pan, skillet, s. spider","frying pan -- our word; skillet -- Cornish say; s. spider -- griddle-like bars in a pan - an oblong one - with handles [pic]; for meats, set on stove or in oven [pron. note]",,,
WI18B,LANCS,Male,77,White,At least some high school,Farmer,42.86,-90.1798,"skillet, frying pan, spider","all -- cast iron; later, steel; short handle; skillet -- early; frying pan -- later; spider -- some said",,,
WI19A,LANCS,Male,70,White,Between 1 and 8 yrs.,Farmer,43.2494,-89.6754,spider,"iron - had 1/2"" legs, some",,,
WI19B,LANCS,Male,62,White,Between 1 and 8 yrs.,Farmer,43.2494,-89.6754,"frying pan, spider","frying pan -- mostly cast iron; spider -- same thing, just another word some people used",,,
WI20,LANCS,Male,82,White,At least some college or beyond,Farmer,43.1839,-88.9884,spider,,,,
WI21A,LANCS,Male,83,White,Between 1 and 8 yrs.,Farmer,42.9667,-88.3712,"frying pan, skillet, spider","all the same (second [skillet] might be cr. himself; said he had just been 'inventing' this; there was a difference, but he didn't know it.)",,,
WI21B,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,42.9667,-88.3712,frying pan,,,,
WI22A,LANCS,Male,78,White,At least some high school,Craftsman or foreman,43.0389,-87.9065,"spider, frying pan",spider & frying pan -- same; spider -- word still used; made of cast iron mostly; frying pan -- was the rule - esp. Germans still say so,,,
WI22B,LANCS,Female,62,White,At least some college or beyond,Teacher,43.0389,-87.9065,"frying pan, skillet, spider, iron spider",mean the same; frying pan -- still in use; skillet -- I'd use most; spider & iron spider -- still in use; older term,,,
WI23A,LANCS,Male,72,White,Between 1 and 8 yrs.,Farmer,42.4318,-89.3318,"skillet, spider",spider -- no legs,,,
WI23B,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer ,42.8144,-89.6351,"frying pan, spider","same thing; some had legs - about 1"" cast iron",,,
WI24A,LANCS,Female,87,White,At least some college or beyond,Teacher,42.5578,-88.8651,"frying pan, spider, skillet","frying pan -- lighter metal, newer; spider -- heavy) cast iron (; sometimes had legs; skillet -- general term, as some people use it",,,
WI24B,LANCS,Male,56,White,Between 1 and 8 yrs.,Farmer ,42.5578,-88.8651,"frying pan, s. spider, skillet",frying pan & s. spider -- cast iron; skillet -- mostly) steel,,,
WI25A,LANCS,Female,77,White,Between 1 and 8 yrs.,Farmer's wife,42.737,-87.8844,"spider, skillet","spider -- frying pan - then & still used; skillet -- some say same as 'spider', some say = little iron) kittle",,,
WI25B,LANCS,Male,68,White,Between 1 and 8 yrs.,Farmer,42.8078,-87.9242,"spider, frying pan",spider -- not much anymore; frying pan -- old also; now common term,,,
WI26A,LANCS,Male,72,White,Between 1 and 8 yrs.,Farmer,42.5531,-87.9334,"spider, frying pans, skillets",,,,
WI26B,LANCS,Female,71,White,Between 1 and 8 yrs.,Farmer's wife,42.5531,-87.9334,"spider, frying pans",spider -- iron [pic]; frying pans -- light metal [pic],,,
NY1,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389,frying pan,,,,
NY1,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389,frying pan,,,,
NY1,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389,spider,,,,
NY1,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389,spider,,,,
NY2A,LAMSAS,Male,63,White,No formal schooling,Farmer,40.965,-72.185,spider,,,,
NY2A,LAMSAS,Male,63,White,No formal schooling,Farmer,40.965,-72.185,skillet,,,,
NY2A,LAMSAS,Male,63,White,No formal schooling,Farmer,40.965,-72.185,skillet,,,,
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,spider,,,,
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,spider,,,,
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,skillet,,,,
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,skillet,,,,
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,skillet,,,,
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,skillet,,,,
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,frying pan,,,,
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,frying pan,,,,
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,spider,,,,
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,spider,,,,
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,skillet,,,,
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,skillet,,,,
NY3A,LAMSAS,Male,71,White,At least some high school,Farmer,40.77917,-72.91583,frying pan,,,,
NY3B,LAMSAS,Male,70,White,At least some high school,Farmer,40.86806,-73.42611,spider,,,,
NY3C,LAMSAS,Male,50,White,At least some high school,Farmer,40.86861,-73.00195,frying pan,,,,
NY3C,LAMSAS,Male,50,White,At least some high school,Farmer,40.86861,-73.00195,spider,,,,
NY3D,LAMSAS,Male,48,White,At least some high school,Farmer,40.9125,-73.30139,frying pan,,,,
NY3D,LAMSAS,Male,48,White,At least some high school,Farmer,40.9125,-73.30139,spider,,,,
NY4A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,40.82833,-73.62861,frying pan,,,,
NY4A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,40.82833,-73.62861,spider,,,,
NY4B,LAMSAS,Male,79,White,Between 1 and 8 years,Operative,40.6575,-73.58361,frying pan,,,,
NY4B,LAMSAS,Male,79,White,Between 1 and 8 years,Operative,40.6575,-73.58361,frying pan,,,,
NY4C,LAMSAS,Male,51,White,At least some high school,Farmer,40.7125,-73.55889,frying pan,,,,
NY5A,LAMSAS,Female,70,White,At least some high school,Keeping house,40.62111,-73.93528,frying pan,,,,
NY5A,LAMSAS,Female,70,White,At least some high school,Keeping house,40.62111,-73.93528,frying pan,,,,
NY5B,LAMSAS,Male,32,White,At least some high school,Clerical or sales position,40.66666,-73.95,frying pan,,,,
NY5C,LAMSAS,Female,51,White,At least some high school,Keeping house,40.67667,-73.84417,frying pan,,,,
NY5D,LAMSAS,Male,64,White,Between 1 and 8 years,Public Servant,40.68333,-73.91666,frying pan,,,,
NY5E,LAMSAS,Female,82,White,Between 1 and 8 years,Keeping house,40.66667,-73.95944,frying pan,,,,
NY5E,LAMSAS,Female,82,White,Between 1 and 8 years,Keeping house,40.66667,-73.95944,spider,,,,
NY5F,LAMSAS,Male,53,White,Between 1 and 8 years,Clerical or sales position,40.66667,-73.9875,frying pan,,,,
NY5G,LAMSAS,Male,50,White,At least some high school,"Manager, official, or proprietor",40.625,-74,frying pan,,,,
NY5H!,LAMSAS,Male,68,White,At least some college or beyond,Professional or technical job,40.69528,-73.99416,frying pan,,,,
NY5I!,LAMSAS,Male,54,White,At least some college or beyond,Professional or technical job,40.76528,-73.81778,frying pan,,,,
NY5I!,LAMSAS,Male,54,White,At least some college or beyond,Professional or technical job,40.76528,-73.81778,spider,,,,
NY6A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,40.53722,-74.195,frying pan,,,,
NY6A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,40.53722,-74.195,spider,,,,
NY6B,LAMSAS,Female,48,White,At least some high school,Keeping house,40.51056,-74.24306,frying pan,,,,
NY7A,LAMSAS,Male,45,White,Between 1 and 8 years,Laborer,40.71417,-74.00639,frying pan,,,,
NY7B,LAMSAS,Male,39,White,Between 1 and 8 years,Operative,40.8125,-73.95,frying pan,,,,
NY7C,LAMSAS,Female,43,White,Between 1 and 8 years,Keeping house,40.80139,-73.96389,frying pan,,,,
NY7D,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,40.83333,-73.94722,frying pan,,,,
NY7E,LAMSAS,Male,63,White,At least some high school,Clerical or sales position,40.67,-73.99805,frying pan,,,,
NY7F,LAMSAS,Female,67,White,At least some high school,Clerical or sales position,40.79722,-73.96778,frying pan,,,,
NY7G,LAMSAS,Female,55,White,At least some high school,Keeping house,40.79167,-73.93333,frying pan,,,,
NY7H,LAMSAS,Male,38,White,At least some high school,Clerical or sales position,40.75,-74,frying pan,,,,
NY7H,LAMSAS,Male,38,White,At least some high school,Clerical or sales position,40.75,-74,skillet,,,,
NY7I,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,40.75417,-73.97639,frying pan,,,,
NY7J!,LAMSAS,Female,59,White,At least some high school,Other (see notes),40.76167,-73.96806,frying pan,,,,
NY7K!,LAMSAS,Male,60,White,At least some college or beyond,Professional or technical job,40.77472,-73.95695,frying pan,,,,
NY7L!,LAMSAS,Female,76,White,At least some high school,Professional or technical job,40.76111,-73.96778,frying pan,,,,
NY7M!,LAMSAS,Female,62,White,At least some high school,Keeping house,40.76389,-73.97833,frying pan,,,,
NY8,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),40.83972,-73.87805,frying pan,,,,
NY8,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),40.83972,-73.87805,frying pan,,,,
NY8,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),40.83972,-73.87805,spider,,,,
NY8,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),40.83972,-73.87805,spider,,,,
NY9A,LAMSAS,Female,75,White,Between 1 and 8 years,Other (see notes),41.07611,-73.85917,spider,,,,
NY9A,LAMSAS,Female,75,White,Between 1 and 8 years,Other (see notes),41.07611,-73.85917,frying pan,,,,
NY9B,LAMSAS,Male,77,White,At least some high school,Farmer,41.20417,-73.64417,spider,,,,
NY9C,LAMSAS,Female,55,White,At least some high school,Keeping house,41.26305,-73.61389,frying pan,,,,
NY10A,LAMSAS,Male,59,White,Unknown,Farmer,41.30194,-74.56194,spider,,,,
NY10B!,LAMSAS,Female,63,White,At least some high school,Keeping house,41.40194,-74.32472,frying pan,,,,
NY10B!,LAMSAS,Female,63,White,At least some high school,Keeping house,41.40194,-74.32472,skillet,,,,
NY11,LAMSAS,Female,42,White,At least some college or beyond,Keeping house,41.33583,-73.87444,frying pan,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,frying pan,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,frying pan,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,frying pan,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,frying pan,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,spider,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,spider,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,spider,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,spider,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,spider,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,spider,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,spider,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,spider,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,frying pan,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,frying pan,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,frying pan,,,,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,frying pan,,,,
NY12B,LAMSAS,Female,55,White,At least some college or beyond,Keeping house,41.70028,-73.66695,spider,,,,
NY12B,LAMSAS,Female,55,White,At least some college or beyond,Keeping house,41.70028,-73.66695,frying pan,,,,
NY12C!,LAMSAS,Female,65,White,At least some high school,"Manager, official, or proprietor",41.70028,-73.92139,frying pan,,,,
NY13A,LAMSAS,Male,81,White,At least some high school,Farmer,42.03861,-73.98695,spider,,,,
NY13B!,LAMSAS,Female,68,White,At least some high school,Other (see notes),41.92445,-74.06167,spider,,,,
NY13B!,LAMSAS,Female,68,White,At least some high school,Other (see notes),41.92445,-74.06167,frying pan,,,,
NY14A,LAMSAS,Male,78,White,At least some high school,Farmer,41.84778,-74.54833,frying pan,,,,
NY14B,LAMSAS,Male,46,White,At least some high school,Farmer,41.65556,-74.68972,frying pan,,,,
NY14B,LAMSAS,Male,46,White,At least some high school,Farmer,41.65556,-74.68972,spider,,,,
NY15A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,42.2625,-74.30139,spider,,,,
NY15B,LAMSAS,Male,49,White,At least some high school,Farmer,42.27028,-74.30334,frying pan,,,,
NY16A,LAMSAS,Male,66,White,At least some high school,Farmer,42.085,-73.8275,spider,,,,
NY16A,LAMSAS,Male,66,White,At least some high school,Farmer,42.085,-73.8275,frying pan,,,,
NY16B,LAMSAS,Male,61,White,At least some high school,Farmer,42.25278,-73.79139,frying pan,,,,
NY16B,LAMSAS,Male,61,White,At least some high school,Farmer,42.25278,-73.79139,spider,,,,
NY17A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.74944,-73.34055,spider,,,,
NY17A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.74944,-73.34055,spider,,,,
NY17A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.74944,-73.34055,spider,,,,
NY17A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.74944,-73.34055,spider,,,,
NY17B,LAMSAS,Male,45,White,At least some high school,Farmer,42.5125,-73.70611,spider,,,,
NY17B,LAMSAS,Male,45,White,At least some high school,Farmer,42.5125,-73.70611,frying pan,,,,
NY18A,LAMSAS,Male,82,White,At least some high school,Farmer,42.61639,-74.075,spider,,,,
NY18A,LAMSAS,Male,82,White,At least some high school,Farmer,42.61639,-74.075,skillet,,,,
NY18B,LAMSAS,Male,49,White,Between 1 and 8 years,Operative,42.70055,-74.03416,frying pan,,,,
NY18B,LAMSAS,Male,49,White,Between 1 and 8 years,Operative,42.70055,-74.03416,frying pan,,,,
NY18C!,LAMSAS,Male,84,White,At least some high school,"Manager, official, or proprietor",42.6525,-73.75667,spider,,,,
NY19,LAMSAS,Male,52,White,At least some high school,Farmer,42.76194,-74.13416,fryer,,,,
NY19,LAMSAS,Male,52,White,At least some high school,Farmer,42.76194,-74.13416,frying pan,,,,
NY20A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.53056,-74.25861,spider,,,,
NY20B,LAMSAS,Male,35,White,At least some college or beyond,Farmer,42.79583,-74.6175,frying pan,,,,
NY21,LAMSAS,Male,73,White,At least some high school,Farmer,42.85917,-74.74611,spider,,,,
NY21,LAMSAS,Male,73,White,At least some high school,Farmer,42.85917,-74.74611,spider,,,,
NY22,LAMSAS,Male,51,White,At least some high school,Farmer,43.05278,-74.34417,spider,,,,
NY23A,LAMSAS,Male,84,White,Between 1 and 8 years,"Manager, official, or proprietor",43.24445,-73.83278,spider,,,,
NY23A,LAMSAS,Male,84,White,Between 1 and 8 years,"Manager, official, or proprietor",43.24445,-73.83278,spider,,,,
NY23B,LAMSAS,Male,74,White,At least some high school,Farmer,43.13334,-73.60611,frying pan,,,,
NY23B,LAMSAS,Male,74,White,At least some high school,Farmer,43.13334,-73.60611,frying pan,,,,
NY23B,LAMSAS,Male,74,White,At least some high school,Farmer,43.13334,-73.60611,spider,,,,
NY23B,LAMSAS,Male,74,White,At least some high school,Farmer,43.13334,-73.60611,spider,,,,
NY23C,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222,frying pans,,,,
NY23C,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222,frying pans,,,,
NY23C,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222,spiders,,,,
NY23C,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222,spiders,,,,
NY23C,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222,grill,,,,
NY23C,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222,grill,,,,
NY24A,LAMSAS,Male,74,White,At least some high school,Farmer,43.36361,-73.39417,spider,,,,
NY24A,LAMSAS,Male,74,White,At least some high school,Farmer,43.36361,-73.39417,spider,,,,
NY24A,LAMSAS,Male,74,White,At least some high school,Farmer,43.36361,-73.39417,spider,,,,
NY24B!,LAMSAS,Female,61,White,At least some high school,Other (see notes),43.26694,-73.585,frying pan,,,,
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,frying pan,,,,
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,frying pan,,,,
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,spider,,,,
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,spider,,,,
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,griddle,,,,
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,griddle,,,,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,frying pan,,,,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,frying pan,,,,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,skillet,,,,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,skillet,,,,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,spider,,,,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,spider,,,,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,pancake griddle,,,,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,pancake griddle,,,,
NY26A,LAMSAS,Male,82,White,No formal schooling,Craftsman or foreman,43.47083,-74.41306,frying pans,,,,
NY26A,LAMSAS,Male,82,White,No formal schooling,Craftsman or foreman,43.47083,-74.41306,spider,,,,
NY26B,LAMSAS,Female,77,White,Between 1 and 8 years,Keeping house,43.49722,-74.36222,frying pan,,,,
NY26B,LAMSAS,Female,77,White,Between 1 and 8 years,Keeping house,43.49722,-74.36222,frying pan,,,,
NY26B,LAMSAS,Female,77,White,Between 1 and 8 years,Keeping house,43.49722,-74.36222,spiders,,,,
NY26B,LAMSAS,Female,77,White,Between 1 and 8 years,Keeping house,43.49722,-74.36222,spiders,,,,
NY26C,LAMSAS,Male,54,White,At least some high school,"Manager, official, or proprietor",43.48889,-74.35555,frying pans,,,,
NY26C,LAMSAS,Male,54,White,At least some high school,"Manager, official, or proprietor",43.48889,-74.35555,spider,,,,
NY27A,LAMSAS,Male,74,White,Between 1 and 8 years,Laborer,43.84861,-73.42389,frying pan,,,,
NY27A,LAMSAS,Male,74,White,Between 1 and 8 years,Laborer,43.84861,-73.42389,spider,,,,
NY27B,LAMSAS,Female,82,White,At least some high school,"Manager, official, or proprietor",43.85556,-73.44028,frying pan,,,,
