Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude,picket fence
MA321,LANE,Male,84,White,At least some college or beyond,"Manager, official, or proprietor",42.5619,-73.1633,picket fence
MA322,LANE,Male,40,White,At least some high school,Craftsman or foreman,42.5619,-73.1633,picket fence
MA325,LANE,Male,83,White,At least some high school,Clerical or sales position,42.0391,-71.6211,picket
MA326,LANE,Female,74,White,At least some high school,Other (see notes),42.558,-70.88,picket
MA344,LANE,Male,87,White,At least some high school,Operative,42.1166,,picket fence
MA349,LANE,Female,75,White,Between 1 and 8 years,Farmer's wife,42.0833,-71.4,"picket fence, post, rails, pickets"
MA350,LANE,Female,60,White,Unknown,Keeping house,42.1355,-71.9705,picket fence
MA372,LANE,Male,85,White,At least some high school,Professional or technical job,42.45,-73.25,picket fence
MA388,LANE,Female,79,White,Between 1 and 8 years,Keeping house,41.2833,-70.0833,"slat fence, picket fence"
MA389,LANE,Male,83,White,At least some high school,Farmer,41.2833,-70.0833,"slat fence, picket fence"
MA390,LANE,Male,78,White,At least some high school,Farmer,41.2625,-69.9661,"picket fence, slat fence"
MA391,LANE,Male,61,White,At least some high school,Farmer,41.4591,-70.6551,picket fence
MA392,LANE,Female,56,White,At least some college or beyond,Teacher,41.3811,-70.675,picket fence
MA393,LANE,Male,82,White,At least some high school,Professional or technical job,41.3888,-70.5138,picket fence
MA394,LANE,Male,77,White,At least some high school,Farmer,41.3888,-70.5138,picket fence
MA395,LANE,Male,85,White,Unknown,Farmer,41.2983,-70.0127,"picket fence, slat fence"
MA396,LANE,Male,85,White,Unknown,Farmer,41.2625,-69.9661,missing
MA397,LANE,Male,75,White,Between 1 and 8 years,Operative,42.3581,-71.0636,picket fence
MA398,LANE,Male,85,White,Between 1 and 8 years,Professional or technical job,42.5,-70.8583,"picket fence, slated fence, square tops"
MA399,LANE,Male,68,White,At least some high school,Professional or technical job,42.5,-70.8583,"picket fence, a pickets, a picket"
MA402,LANE,Male,48,White,At least some college or beyond,Professional or technical job,42.5583,-71.2694,picket fence
MA403,LANE,Male,77,White,Between 1 and 8 years,Farmer,42.5583,-71.2694,picket fence
MA404,LANE,Male,56,White,Unknown,Farmer ,42.6375,-70.95,rences
MA409,LANE,Female,60,White,At least some high school,Keeping house,42.3667,-71.3031,picket fence
MA410,LANE,Male,69,White,Between 1 and 8 years,Farmer,42.5047,-71.1961,picket fence
MA411,LANE,Male,74,White,Unknown,Professional or technical job,42.4603,-71.3494,picket fence
MA416,LANE,Male,73,White,At least some high school,Farmer,42.4603,-71.3494,picket fence
MA420,LANE,Male,86,White,Between 1 and 8 years,Clerical or sales position,42.3581,-71.0636,"panel fence, picket fence, pickets"
MA421,LANE,Male,71,White,At least some high school,Professional or technical job,42.3667,-71.3031,picket fence
MA423,LANE,Female,51,White,,Unknown,﻿42.3930,-72.4041,missing
MA424,LANE,Male,56,White,At least some high school,Farmer,42.1236,-71.1786,"picket fence, slated fence"
MA425,LANE,Male,87,White,At least some high school,Farmer,42.0653,-71.2483,picket fence
MA426,LANE,Male,72,White,Between 1 and 8 years,Farmer,42.2388,-71.3702,picket fence
MA427,LANE,Male,80,White,At least some high school,Farmer,42.2388,-71.3702,picket fence
MA428,LANE,Male,61,White,At least some college or beyond,Service worker,42.3581,-71.0636,"picket fence, pailing fence"
MA429,LANE,Female,46,White,At least some high school,Keeping house,42.3581,-71.0636,"pailing fence, picket fence"
ME49,LANE,Male,55,White,At least some high school,Craftsman or foreman,43.1689,-70.6172,"picket fence, slat fence"
ME53,LANE,Male,82,White,Unknown,Unknown,43.3203,-70.6117,"slat fence, pick fence"
ME64,LANE,Male,78,White,At least some high school,Farmer,43.4641,-70.7955,"slat fence, picket fence, picket"
ME66,LANE,Male,75,White,At least some high school,Farmer,43.5342,-70.9097,"slat fence, pick fence"
ME76,LANE,Male,63,White,Between 1 and 8 years,Operative,43.667,-70.267,"slat fence, pick fence, picket"
ME77,LANE,Male,78,White,Between 1 and 8 years,Clerical or sales position,43.4742,-70.4461,"pick fence, picket fence, slat fence"
ME78,LANE,Male,77,Black or African American,At least some high school,Service worker,43.667,-70.267,"slat fence, pick fence"
ME83,LANE,Male,75,White,Between 1 and 8 years,Farmer,41.9478,-71.1324,"pick fence, slat fence"
ME84,LANE,Male,81,White,At least some college or beyond,"Manager, official, or proprietor",41.7,-70.233,"picket fence, slat fence"
ME85,LANE,Male,67,White,At least some college or beyond,Teacher,43.667,-70.267,missing
ME86,LANE,Unknown,70,White,Unknown,,43.667,-70.267,missing
ME87,LANE,Female,70,White,Unknown,Farmer's wife,43.3617,-70.4767,pick fence
ME88,LANE,Male,43,White,At least some high school,Operative,43.7317,-70.7108,"pick fence, slat fence"
ME131,LANE,Male,42,White,Between 1 and 8 years,Farmer,43.1689,-70.6172,"slat fence, pick fence"
ME221,LANE,Male,77,White,At least some high school,Farmer,44.3747,-70.6069,picket fence
ME222,LANE,Male,74,White,At least some high school,Laborer,44.3747,-70.6069,picket fence
ME225,LANE,Male,71,White,At least some high school,Farmer,43.9703,-70.8033,"picket fence, pick fence, slat fence, front yard fence"
ME226,LANE,Male,68,White,At least some high school,Farmer,43.9703,-70.8033,"pick fence, ladder fence, slat fence"
ME227,LANE,Female,49,White,At least some high school,Keeping house,43.9525,-70.5138,"picket fence, board fence"
ME228,LANE,Male,64,White,At least some high school,Clerical or sales position,43.9525,-70.5138,"pick fence, slat fence"
ME229,LANE,Female,83,White,At least some college or beyond,Keeping house,44.4872,-70.7869,picket fence
ME230,LANE,Male,71,White,At least some college or beyond,Professional or technical job,44.4967,-70.6942,"picket fence, slat fence"
ME246,LANE,Male,76,White,At least some high school,Farmer,44.4786,-69.5172,picket fence
ME247,LANE,Male,99,White,At least some college or beyond,Farmer,44.1014,-69.3897,picket fence
ME248,LANE,Female,50,White,At least some college or beyond,Other (see notes),44.0794,-69.485,picket fence
ME249,LANE,Male,76,White,At least some high school,Farmer,44.2217,-69.7556,picket fence
ME250,LANE,Male,72,White,At least some high school,Farmer,43.6047,-70.2261,"picket fence, slat "
ME251,LANE,Female,62,White,At least some high school,Keeping house,44.2581,-69.8083,picket fence
ME252,LANE,Male,84,White,At least some college or beyond,Operative,41.7,-70.233,"slat fence, pick fence, picket fence"
ME253,LANE,Female,55,White,At least some high school,Keeping house,44.4786,-69.5172,picket fence
ME267,LANE,Male,78,White,Between 1 and 8 years,Farmer,44.6122,-68.9116,picket fence
ME268,LANE,Female,91,White,Between 1 and 8 years,Farmer's wife,44.8367,-69.2725,picket fence
ME269,LANE,Male,64,White,At least some high school,Professional or technical job,44.8367,-69.2725,picket fence
ME270,LANE,Male,73,White,At least some high school,Farmer,44.7611,-68.673,picket fence
ME271,LANE,Male,72,White,At least some high school,Public servant,44.4583,-68.9242,picket fence
ME272,LANE,Female,90,White,At least some high school,Keeping house,44.0822,-69.0572,picket fence
ME292,LANE,Male,90,White,At least some high school,Service worker,44.5722,-68.4761,"picket fence, slat fence"
ME293,LANE,Female,83,White,At least some high school,Keeping house,44.5722,-68.4761,picket fence
ME294,LANE,Male,81,White,Between 1 and 8 years,Farmer,44.4138,-68.5866,picket fence
ME295,LANE,Female,58,White,At least some college or beyond,Keeping house,44.4138,-68.5866,picket fence
ME296,LANE,Female,74,White,At least some high school,Keeping house,44.3428,-68.3071,picket fence
ME297,LANE,Female,59,White,At least some college or beyond,Keeping house,44.4783,-68.0383,picket fence
ME298,LANE,Female,77,White,At least some high school,Keeping house,44.4783,-68.0383,picket fence
ME299,LANE,Male,90,White,Between 1 and 8 years,Laborer,44.5328,-67.5983,picket fence
ME300,LANE,Female,61,White,At least some high school,"Manager, official, or proprietor",44.5328,-67.5983,picket fence
ME301,LANE,Male,66,White,At least some high school,Craftsman or foreman,44.6833,-67.4667,picket fence
ME302,LANE,Male,50,White,At least some high school,Fisher,44.6233,-67.4713,picket fence
ME303,LANE,Female,68,White,At least some high school,Keeping house,44.8408,-67.0156,picket fence
ME304,LANE,Male,70,White,At least some high school,Fisher,44.975,-67.0758,picket fence
ME305,LANE,Male,64,White,At least some high school,Professional or technical job,45.1661,-67.2425,picket fence
ME306,LANE,Male,53,White,At least some college or beyond,Professional or technical job,45.1661,-67.2425,picket fence
ME308,LANE,Male,60,White,At least some high school,Public servant,44.1094,-69.1147,picket fence
ME309,LANE,Female,81,White,At least some high school,Keeping house,43.9108,-69.963,picket fence
ME310,LANE,Female,74,White,At least some high school,Keeping house,43.8717,-69.8589,picket fence
ME311,LANE,Male,69,White,At least some high school,Public servant,43.7375,-69.9936,picket fence
ME312,LANE,Female,79,White,At least some high school,Keeping house,44.25222,,picket fence
ME327,LANE,Male,67,White,At least some high school,Farmer,42.27917,-71.4166,picket fence
ME328,LANE,Female,84,White,At least some high school,Keeping house,45.1861,-69.2203,picket fence
ME329,LANE,Female,68,White,Between 1 and 8 years,Keeping house,45.1861,-69.2203,"slat fence, picket fence"
ME330,LANE,Female,68,White,At least some college or beyond,Keeping house,44.7967,-68.7614,picket fence
ME331,LANE,Male,72,White,At least some high school,Farmer,42.5988,-72.5569,picket fence
ME332,LANE,Male,83,White,At least some high school,Laborer,42.05,-71.8806,"picket fence, pick fence"
ME333,LANE,Male,42,White,At least some college or beyond,Professional or technical job,42.05,-71.8806,"cricket fence, picket fence"
ME358,LANE,Female,71,White,At least some high school,Keeping house,46.7722,,missing
ME359,LANE,Male,71,White,At least some high school,Farmer,46.7722,,picket fence
ME360,LANE,Female,71,White,At least some college or beyond,Professional or technical job,44.7648,-69.7184,picket house
ME361,LANE,Male,22,White,At least some college or beyond,Student,42.2791,,picket fence
ME362,LANE,Male,70,White,At least some high school,Craftsman or foreman,42.2611,-71.4639,missing
ME363,LANE,Female,47,White,At least some high school,Keeping house,46.1255,-67.8397,picket fence
ME364,LANE,Male,85,White,Between 1 and 8 years,Professional or technical job,46.1255,-67.8397,picket fence
ME365,LANE,Male,43,White,At least some high school,Clerical or sales position,47.2419,-68.5722,missing
ME366,LANE,Male,53,White,At least some high school,Farmer,44.7158,-69.7911,picket fence
ME367,LANE,Male,62,White,At least some college or beyond,Clerical or sales position,44,-69.53,picket fence
ME368,LANE,Male,73,White,At least some high school,Farmer,41.6916,,picket fence
ME377,LANE,Female,90,White,Unknown,Keeping house,44,-69.53,picket fence
ME379,LANE,Male,63,White,At least some high school,Clerical or sales position,44.9738,-70.1675,picket fence
ME380,LANE,Female,61,White,At least some high school,Keeping house,45.3755,-67.6425,picket fence
MI1A,LANCS,Female,66,White,At least some college or beyond,Keeping house,46.5563,-89.3963,picket fence
MI1B,LANCS,Female,59,White,At least some high school,Keeping house,56.5442,-89.644,"picket fence, pickets"
MI2A,LANCS,Male,72,White,Between 1 and 8 yrs.,Other,47.2466,-88.454,"board fence, picket fence"
MI2B,LANCS,Male,62,White,At least some high school,Public servant,47.2466,-88.454,picket fences
MI2C,LANCS,Female,62,White,Between 1 and 8 yrs.,Keeping house,47.2466,-88.454,NR
MI3A,LANCS,Male,70,White,Between 1 and 8 yrs.,Craftsman or foreman,46.6338,-87.9975,"wood fences, picket fence"
MI3B,LANCS,Male,60,White,Between 1 and 8 yrs.,Public servant,46.4885,-87.6676,"picket fence, a rope fence"
MI4A,LANCS,Male,82,White,Between 1 and 8 yrs.,Farmer,45.4641,-87.0702,"picket fence, fence board"
MI4B,LANCS,Male,61,White,At least some high school,Operative,45.7452,-87.0646,"picket fences, fence"
MI5A,LANCS,Female,86,White,At least some high school,Keeping house,46.4977,-84.3476,"picket fence, picket"
MI5B,LANCS,Male,73,White,At least some high school,"Manager, official, or proprietor",46.4977,-84.3476,picket fence
MI5C,LANCS,Female,59,White,At least some high school,Keeping house,46.4977,-84.3476,"picket fence, picket fences"
MI6A,LANCS,Male,81,White,No formal schooling,Operative,45.7454,-85.5226,picket fence
MI6B,LANCS,Male,50,White,Between 1 and 8 yrs.,Operative,45.6468,-85.5521,"picket, picket fence"
MI6C,LANCS,Male,60,White,Unknown,"Manager, official, or proprietor",45.7454,-85.5226,picket fence
MI7A,LANCS,Male,56,White,At least some high school,Farmer,45.6419,-84.9769,"board fences, board, picket fence"
MI7B,LANCS,Male,53,White,Between 1 and 8 yrs.,Farmer,45.6358,-84.787,picket fence
MI8A,LANCS,Male,78,White,At least some high school,"Manager, official, or proprietor",44.9622,-85.4854,picket fence
MI8B,LANCS,Male,78,White,At least some high school,Farmer,44.9622,-85.4854,picket fence
MI9A,LANCS,Male,87,White,At least some high school,"Manager, official, or proprietor",45.0617,-83.4328,"picket fence, wooden fence"
MI9B,LANCS,Male,69,White,Between 1 and 8 yrs.,Farmer,45.0617,-83.4328,"yard fence, board fence"
MI9C,LANCS,Male,72,White,At least some college or beyond,Public servant,45.0617,-83.4328,picket fence
MI9D,LANCS,Male,73,White,At least some college or beyond,"Manager, official, or proprietor",45.0617,-83.4328,picket fences
MI10A,LANCS,Female,80,White,At least some high school,Professional & technical,43.5052,-86.2454,picket fence
MI10B,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,43.8654,-86.3174,picket fences
MI10C,LANCS,Male,54,White,At least some high school,Farmer,43.9553,-86.4526,picket fence
MI11A,LANCS,Male,68,White,Between 1 and 8 yrs.,Farmer ,44.1248,-85.4541,"picket fence, pailings"
MI11B,LANCS,Male,55,White,At least some high school,"Manager, official, or proprietor",44.1248,-85.4541,picket fence
MI12A,LANCS,Male,70,White,At least some college or beyond,"Manager, official, or proprietor",44.2764,-84.2386,"picket fence, board fences"
MI12B,LANCS,Male,47,White,Between 1 and 8 yrs.,Farmer ,44.1643,-84.421,"picket fence, chicken wire fence"
MI13A,LANCS,Male,72,White,Between 1 and 8 yrs.,Operative,43.2538,-85.5047,picket fence
MI13B,LANCS,Male,55,White,At least some high school,"Manager, official, or proprietor",43.2538,-85.5047,"board fence, picket fences"
MI14A,LANCS,Female,75,White,Between 1 and 8 yrs.,Farmer's wife,43.6917,-84.7942,"picket fence, pickets"
MI14B,LANCS,Male,68,White,Between 1 and 8 yrs.,Farmer,43.6917,-84.7942,"picket fence, picken fence"
MI14C,LANCS,Male,49,White,Between 1 and 8 yrs.,Farmer,43.6917,-84.7942,"picket fence, ornamental fence"
MI15A,LANCS,Male,72,White,Between 1 and 8 yrs.,Farmer ,43.6197,-83.4003,picket fence
MI15B,LANCS,Female,68,White,At least some high school,Clerical and sales,43.6197,-83.4003,"board fences, picket fences"
MI16A,LANCS,Male,63,White,Between 1 and 8 yrs.,Farmer,42.8125,-86.0187,picket fence
MI16B,LANCS,Male,65,White,Between 1 and 8 yrs.,Operative,42.8125,-86.0187,picket fence
MI16C,LANCS,Female,70,White,At least some college or beyond,Keeping house,42.9634,-85.6681,picket fence
MI17A,LANCS,Male,81,White,Between 1 and 8 yrs.,Farmer,42.8672,-84.9101,"picket fence, slat fence"
MI17B,LANCS,Female,69,White,At least some high school,Keeping house,42.8672,-84.9101,"pickets, picket fences, fences"
MI18A,LANCS,Male,84,White,Between 1 and 8 yrs.,Farmer ,42.494,-83.5855,picket fence
MI18B,LANCS,Female,71,White,Between 1 and 8 yrs.,Keeping house,42.494,-83.5855,picket fence
MI19,LANCS,Female,22,White,At least some college or beyond,Student,42.9959,-83.773,"picket fences, slat fences"
MI20A,LANCS,Female,77,White,Between 1 and 8 yrs.,Keeping house,42.7572,-82.5402,picket fence
MI20B,LANCS,Female,67,White,At least some high school,Keeping house,42.8209,-82.486,"wooden fence, picket fence"
MI21A,LANCS,Male,73,White,Between 1 and 8 yrs.,Farmer,42.6289,-85.0242,picket fence
MI21B,LANCS,Male,73,White,Between 1 and 8 yrs.,Craftsman or foreman,42.6289,-85.0242,"picket fences, woven fences"
MI21C,LANCS,Female,70,White,Unknown,Keeping house,42.6289,-85.0242,picket fences
MI22,LANCS,Male,93,White,Between 1 and 8 yrs.,Farmer,42.6073,-83.9294,"stump fence, picket fence, slat fences"
MI23A,LANCS,Male,81,White,Unknown,"Manager, official, or proprietor",42.5917,-83.6004,"fence, picket fence, slat fence"
MI23B,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,42.5917,-83.6004,"a slat fence, picket fence"
MI23C,LANCS,Female,58,White,At least some college or beyond,Farmer's wife,42.5917,-83.6004,slat fence
MI24A,LANCS,Male,49,White,At least some college or beyond,Farmer ,42.2178,-85.8911,picket fences
MI24B,LANCS,Female,82,White,At least some college or beyond,Keeping house,42.2178,-85.8911,picket fence
MI24C,LANCS,Male,69,White,At least some high school,"Manager, official, or proprietor",42.2178,-85.8911,"a board fence, picket fence"
MI24D,LANCS,Male,60,White,Unknown,"Manager, official, or proprietor",42.2178,-85.8911,"board fence, picket fences"
MI25A,LANCS,Male,78,White,Between 1 and 8 yrs.,Farmer,42.0296,-86.0326,picket fence
MI25B,LANCS,Male,64,White,Between 1 and 8 yrs.,Public servant,42.0296,-86.0326,picket fence
MI26A,LANCS,Male,81,White,Between 1 and 8 yrs.,Farmer,42.2994,-84.8776,"board fence, picket fence"
MI26B,LANCS,Male,75,White,At least some high school,"Manager, official, or proprietor",42.2723,-84.9633,picket fence
MI27A,LANCS,Male,83,White,At least some high school,"Manager, official, or proprietor",41.9403,-85.0005,picket fences
MI27B,LANCS,Male,48,White,At least some college or beyond,Farmer,41.5157,-84.5353,"garden fence, picket fence"
MI28A,LANCS,Male,80,White,At least some high school,Farmer,41.8975,-84.0372,picket fence
MI28B,LANCS,Male,90,White,At least some high school,Craftsman or foreman,41.8975,-84.0372,picket fence
MI29A,LANCS,Male,79,White,At least some high school,Craftsman or foreman,42.3314,-83.0458,"board fence, picket fence"
MI29B,LANCS,Male,81,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",42.3314,-83.0458,picket fence
MI29C,LANCS,Female,49,White,At least some college or beyond,Teacher,42.3314,-83.0458,"wooden fences, fence"
MI29D,LANCS,Male,36,White,At least some high school,Clerical and sales,42.3314,-83.0458,"picket fences, pickets, ?"
MI29E,LANCS,Male,34,White,At least some college or beyond,Teacher,42.3314,-83.0458,picket fence
MI30A,LANCS,Male,92,White,Between 1 and 8 yrs.,Farmer,41.9573,-83.6597,picket fence
MI30B,LANCS,Male,55,White,Between 1 and 8 yrs.,Unknown,41.9573,-83.6597,picket fence
NH48,LANE,Male,68,White,Between 1 and 8 years,Farmer,43.0133,-70.7708,"picket fence, slat fence, picks"
NH50,LANE,Male,69,White,At least some high school,Farmer,43.0133,-70.7708,"picket fence, slat fence, picket"
NH51,LANE,Male,39,White,Between 1 and 8 years,Clerical or sales position,42.8936,-70.8733,"pick fence, slat fence"
NH63,LANE,Male,89,White,Between 1 and 8 years,Farmer,43.1231,-71.0114,"slat fence, pick fence"
NH67,LANE,Male,66,White,At least some high school,Service worker,43.1947,-70.875,"pick fence, slat fence"
NH68,LANE,Male,88,White,At least some high school,Farmer,43.1231,-71.0114,"picket fence, slat fence"
NH75,LANE,Male,63,White,Between 1 and 8 years,Laborer,42.8936,-70.8733,"picket fence, pick fence"
NH100,LANE,Male,75,White,At least some college or beyond,Farmer,43.8103,-72.1561,picket fence
NH101,LANE,Male,47,White,Between 1 and 8 years,Farmer,43.8103,-72.1561,"picket fence, fence"
NH117,LANE,Male,75,White,At least some high school,Clerical or sales position,43.3653,-72.1733,"slat fence, picket fence"
NH118,LANE,Male,56,White,At least some high school,"Manager, official, or proprietor",43.3011,-72.1478,"picket fence, fence"
NH128,LANE,Female,89,White,At least some high school,Farmer's wife,43.4508,-71.9133,"picket fence, pick fence"
NH129,LANE,Male,70,White,At least some high school,Farmer,43.5275,-71.4703,"picket fence, pick fence"
NH130,LANE,Male,77,White,Unknown,Farmer,42.8806,-71.3272,"picket fence, pick fence, slat fence"
NH132,LANE,Male,77,White,At least some high school,Farmer,42.9364,-71.0533,"slat fence, pick fence"
NH144,LANE,Female,96,White,Between 1 and 8 years,Farmer's wife,43.3288,,picket fence
NH156,LANE,Female,90,White,At least some college or beyond,Other (see notes),43.2067,-71.5381,picket fence
NH157,LANE,Male,79,White,At least some high school,Farmer,43.2856,-71.4678,"pick fence, picket fence"
NH158,LANE,Male,74,White,Between 1 and 8 years,Farmer,42.8614,-71.6253,picket fence
NH159,LANE,Female,78,White,Unknown,Private household worker or gardener,42.9758,-71.6917,picket fence
NH163,LANE,Female,66,White,At least some high school,Keeping house,43.2344,-72.4244,picket fence
NH164,LANE,Male,84,White,At least some high school,Farmer,43.3342,-71.9514,"picket fence, slat fence"
NH165,LANE,Male,76,White,At least some high school,Farmer,43.3288,,"picket fence, slat fence"
NH166,LANE,Male,84,White,At least some high school,Farmer,43.5475,-71.4072,"pick fence, picket fence, slat fence"
NH167,LANE,Male,88,White,At least some high school,Farmer,43.4428,-71.4825,"picket fence, pick, slat fence"
NH170,LANE,Male,67,White,At least some college or beyond,Professional or technical job,43.0308,-71.9389,"pailing fence, picket fence"
NH171,LANE,Male,66,White,Between 1 and 8 years,Farmer,43.0308,-71.9389,"picket fence, slat fence"
NH172,LANE,Female,70,White,Between 1 and 8 years,Keeping house,42.9875,-71.8125,picket fence
NH173,LANE,Male,79,White,At least some college or beyond,Farmer,43.1461,-71.2164,pick fence
NH174,LANE,Female,75,White,At least some high school,Farmer's wife,42.9364,-71.0533,pick fence
NH175,LANE,Male,68,White,At least some college or beyond,Farmer,42.865,-71.3739,"pail fence, slat, picket fence"
NH176,LANE,Female,77,White,At least some high school,Keeping house,42.9336,-72.2781,picket fence
NH177,LANE,Male,80,White,At least some college or beyond,Professional or technical job,43.1158,-72.1969,picket fence
NH178,LANE,Female,61,White,At least some high school,Farmer's wife,43.0778,-71.2767,"picket fence, pick fence, slat fence"
NH179,LANE,Female,56,White,At least some high school,Keeping house,43.2344,-72.4244,picket fence
NH180,LANE,Female,85,White,At least some high school,Other (see notes),42.8614,-71.6253,picket fence
NH181,LANE,Female,74,White,At least some college or beyond,Keeping house,42.9336,-72.2781,picket fence
NH219,LANE,Male,81,White,At least some high school,Farmer,44.0531,-71.1281,"picket fence, slat fence"
NH220,LANE,Male,81,White,At least some high school,Clerical or sales position,44.0531,-71.1281,picket fence
NH223,LANE,Male,77,White,At least some college or beyond,Farmer,44.4011,-71.0747,"picket fence, cleat fence"
NH224,LANE,Male,80,White,At least some high school,Farmer,44.4011,-71.0747,"picket fence, cleat fence"
NH334,LANE,Female,71,White,At least some high school,Clerical or sales position,44.4889,-71.5692,picket fence
NH335,LANE,Male,75,White,At least some college or beyond,Clerical or sales position,44.0342,-72.0639,"slat fence, picket fence"
NH336,LANE,Male,83,White,Between 1 and 8 years,Farmer,44.0342,-72.0639,"slat fence, picket fence"
NH352,LANE,Male,80,White,At least some high school,Farmer,44.4889,-71.5692,picket fence
NH353,LANE,Male,73,White,At least some high school,Farmer,44.8777,-71.5141,picket fence
NH354,LANE,Male,56,White,At least some high school,Operative,43.7575,-71.6886,picket fence
NH355,LANE,Female,52,White,Between 1 and 8 years,Keeping house,43.7575,-71.6886,picket fence
NH356,LANE,Male,77,White,At least some high school,Farmer,43.6467,-72.0103,picket fence
NH357,LANE,Male,75,White,At least some college or beyond,Farmer,43.6467,-72.0103,picket fence
NH374,LANE,Male,Unknown,White,Unknown,Farmer,43.7022,-72.2894,picket fence
NH375,LANE,Male,Unknown,White,Unknown,Farmer,43.7022,-72.2894,missing
NH376,LANE,Male,Unknown,White,Unknown,Farmer,43.905,-72.1375,NR
NY412,LANE,Male,63,White,Between 1 and 8 years,Farmer,40.9569,-72.1989,picket fence
NY413,LANE,Male,85,White,At least some high school,Farmer,40.9419,-72.2811,"picket fence, banister fence"
NY414,LANE,Female,80,White,Between 1 and 8 years,Keeping house,40.9331,-72.3081,picket fence
NY415,LANE,Male,53,White,At least some high school,Farmer,41.1453,-72.2886,picket
OH1A,LANCS,Male,88,White,At least some high school,Operative,41.7387,-80.7698,picket fence
OH1B,LANCS,Male,57,White,At least some high school,Farmer,41.7387,-80.7698,picket fence
OH1C,LANCS,Female,53,White,At least some college or beyond,Keeping house,41.7387,-80.7698,picket fence
OH2A,LANCS,Female,68,White,At least some high school,Keeping house,41.3487,-80.8112,picket fence
OH2B,LANCS,Male,46,White,At least some high school,Farmer,41.2887,-80.8405,picket fence
OH3A,LANCS,Male,74,White,At least some high school,Farmer,40.9231,-80.9937,picket fence
OH3B,LANCS,Male,52,White,At least some high school,Farmer,41.0242,-80.8573,picket fence
OH4A,LANCS,Male,73,White,At least some high school,Farmer,40.6407,-80.6398,"pailing fence, picket fence"
OH4B,LANCS,Male,35,White,At least some high school,Farmer,40.772,-80.7681,picket fence
OH5A,LANCS,Male,73,White,At least some high school,Farmer,40.4334,-80.7717,"pailing fence, pickets, pailings"
OH5B,LANCS,Male,84,White,At least some high school,Farmer,40.4334,-80.7717,"picket fence, pailing fence"
OH5C,LANCS,Male,57,White,At least some college or beyond,Farmer,40.4431,-80.894,"picket fence, pailing fence"
OH6A,LANCS,Male,78,White,Between 1 and 8 yrs.,Farmer,40.0803,-80.9018,pailing fence
OH6B,LANCS,Male,52,White,At least some high school,Farmer,40.0803,-80.9018,"picket fence, pailing fence"
OH7A,LANCS,Male,70,White,Between 1 and 8 yrs.,Farmer,39.602,-81.1357,pailing fence
OH7B,LANCS,Male,53,White,Between 1 and 8 yrs.,Farmer,39.6656,-81.1737,pailings
OH8A,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,39.4154,-81.4548,picket fence
OH8B,LANCS,Male,79,White,Between 1 and 8 yrs.,Farmer,39.4154,-81.4548,"pailings, picket fence, board fence"
OH8C,LANCS,Male,52,White,At least some high school,Farmer,39.3987,-81.6649,picket fence
OH8D,LANCS,Male,59,White,At least some high school,"Manager, official, or proprietor",39.4154,-81.4548,picket fence
OH8E,LANCS,Female,70,White,At least some college or beyond,Keeping house,39.4154,-81.4548,picket fence
OH9A,LANCS,Male,80,White,At least some high school,Farmer,39.3558,-82.2504,"picket fence, pailing fence, barb fence, rail fence, worm fence"
OH9B,LANCS,Male,74,White,Between 1 and 8 yrs.,Farmer,39.2259,-82.0385,picket fence
OH9C,LANCS,Female,43,White,At least some high school,Keeping house,39.33,-82.05,picket fence
OH9D,LANCS,Male,64,White,At least some high school,Farmer,39.3292,-82.1013,picket fence
OH10A,LANCS,Male,68,White,At least some high school,Farmer,39.0276,-82.0338,"picket fence, pailing fence"
OH10B,LANCS,Male,44,White,At least some high school,Farmer,39.0276,-82.0338,"picket fence, pailing fence"
OH11A,LANCS,Male,65,White,No formal schooling,Farmer,38.7362,-82.2451,"picket fence, pailing fence"
OH11B,LANCS,Male,39,White,At least some high school,Farmer,39.9187,-82.299,"picket fence, pailings"
OH12A,LANCS,Male,71,White,At least some high school,Farmer,38.5537,-82.4103,pailings
OH12B,LANCS,Male,51,White,At least some high school,Farmer,38.6581,-82.4735,"picket fence, pailings"
OH12C,LANCS,Male,35,White,Unknown,Farmer,38.299,-82.2011,pailings
OH12D,LANCS,Female,50,White,Unknown,Keeping house,38.558,-82.214,pailings
OH13A,LANCS,Male,95,White,Between 1 and 8 yrs.,Farmer,41.2961,-84.627,picket fence
OH13B,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,41.2845,-84.3558,picket fence
OH14A,LANCS,Male,84,White,Between 1 and 8 yrs.,Merchant,41.557,-83.6272,"board fences, picket fences"
OH14B,LANCS,Male,85,White,Between 1 and 8 yrs.,Merchant,41.557,-83.6272,picket fence
OH15A,LANCS,Male,71,White,At least some high school,Craftsman or foreman,41.395,-82.5552,picket fence
OH15B,LANCS,Male,50,White,At least some high school,Craftsman or foreman,41.395,-82.5552,"picket fence, board fence"
OH16A,LANCS,Male,76,White,Between 1 and 8 yrs.,Craftsman or foreman,41.4784,-81.4673,"board fence, picket fences"
OH16B,LANCS,Female,62,White,At least some college or beyond,Clerical and sales,41.4784,-81.4673,picket fence
